x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
77.0,16.0,-122.78124833921242,47.0,62.0,193.0,200.0,266.0,258.0,10
90.0,28.0,-121.42066045445348,86.0,59.0,109.0,166.0,300.0,348.0,7
167.0,27.0,-122.06886297799346,59.0,82.0,134.0,152.0,247.0,268.0,7
143.0,22.0,-121.7640944362683,32.0,114.0,103.0,165.0,226.0,291.0,7
129.0,43.0,-119.41382415901828,34.0,65.0,129.0,166.0,254.0,253.0,7
160.0,41.0,-120.60026242640618,20.0,84.0,162.0,169.0,278.0,306.0,11
16.0,89.0,-122.45258559904394,15.0,146.0,197.0,243.0,282.0,306.0,12
79.0,43.0,-120.4896050481976,84.0,77.0,179.0,199.0,246.0,345.0,10
4.0,87.0,-123.403214614116,5.0,111.0,122.0,166.0,239.0,345.0,7
110.0,79.0,-113.96060218739866,23.0,117.0,166.0,189.0,294.0,315.0,11
45.0,73.0,-120.62078682732916,1.0,80.0,109.0,194.0,252.0,347.0,7
63.0,43.0,-121.3336774475809,100.0,96.0,195.0,230.0,235.0,263.0,10
14.0,35.0,-124.48027394841633,83.0,129.0,170.0,250.0,237.0,347.0,10
186.0,101.0,-118.27013648336003,90.0,86.0,169.0,157.0,269.0,298.0,7
62.0,54.0,-120.55570863996724,73.0,142.0,176.0,206.0,291.0,275.0,12
147.0,109.0,-110.50976281164864,62.0,87.0,199.0,235.0,277.0,322.0,11
130.0,15.0,-122.18857304106332,39.0,105.0,167.0,220.0,243.0,320.0,12
46.0,49.0,-121.94688514693864,44.0,91.0,158.0,187.0,233.0,276.0,10
182.0,77.0,-119.1350256266297,9.0,83.0,142.0,162.0,298.0,268.0,7
123.0,106.0,-104.25553066585356,51.0,91.0,126.0,241.0,276.0,287.0,7
152.0,47.0,-119.6532339564924,8.0,127.0,147.0,193.0,297.0,333.0,7
163.0,1.0,-123.8239031644424,17.0,116.0,196.0,198.0,232.0,288.0,10
34.0,59.0,-122.1961725929622,25.0,146.0,106.0,189.0,202.0,264.0,7
104.0,69.0,-116.08312331801008,75.0,101.0,139.0,194.0,286.0,294.0,7
94.0,73.0,-116.1314316754234,39.0,149.0,168.0,186.0,285.0,337.0,10
24.0,58.0,-122.92109916344094,58.0,62.0,178.0,162.0,261.0,326.0,7
74.0,72.0,-118.04894546768202,68.0,63.0,184.0,208.0,246.0,256.0,9
91.0,86.0,-114.48427152797768,41.0,92.0,181.0,203.0,223.0,296.0,8
51.0,107.0,-118.53145848390454,94.0,130.0,164.0,198.0,267.0,284.0,9
25.0,3.0,-125.41432032672635,0.0,125.0,172.0,237.0,289.0,324.0,8
137.0,109.0,-107.22736365318988,91.0,142.0,142.0,225.0,235.0,324.0,7
39.0,94.0,-120.2609519414374,72.0,134.0,119.0,178.0,272.0,333.0,7
20.0,110.0,-121.7574511400509,97.0,67.0,174.0,208.0,287.0,251.0,10
136.0,54.0,-118.2169125624928,18.0,142.0,123.0,239.0,222.0,344.0,7
79.0,40.0,-120.75960646578216,74.0,137.0,147.0,171.0,251.0,250.0,7
161.0,52.0,-119.61393593659044,41.0,88.0,163.0,197.0,269.0,265.0,12
85.0,105.0,-113.04540092681064,82.0,53.0,106.0,249.0,285.0,340.0,7
56.0,56.0,-120.82272964317032,78.0,139.0,110.0,164.0,291.0,306.0,7
61.0,97.0,-117.6073838546483,98.0,73.0,111.0,228.0,279.0,293.0,7
152.0,49.0,-119.44364460408124,95.0,68.0,155.0,230.0,257.0,286.0,9
179.0,65.0,-119.74427842466864,85.0,141.0,158.0,157.0,249.0,270.0,7
168.0,73.0,-118.0932085902288,66.0,89.0,116.0,167.0,202.0,346.0,7
151.0,88.0,-114.3853372803537,63.0,140.0,168.0,249.0,275.0,339.0,9
162.0,74.0,-117.41355753335222,85.0,88.0,107.0,193.0,200.0,346.0,7
165.0,89.0,-116.2173535506958,56.0,51.0,108.0,213.0,227.0,278.0,7
26.0,14.0,-124.85727462006469,23.0,82.0,105.0,160.0,241.0,345.0,7
126.0,51.0,-118.39984954826916,39.0,94.0,165.0,159.0,228.0,339.0,7
176.0,53.0,-120.46588434953745,82.0,81.0,145.0,235.0,236.0,283.0,7
94.0,69.0,-116.70269088437416,24.0,114.0,123.0,161.0,239.0,305.0,7
38.0,4.0,-124.8811585417948,78.0,83.0,181.0,152.0,211.0,344.0,8
97.0,79.0,-114.93605542776508,8.0,61.0,183.0,173.0,287.0,287.0,7
102.0,97.0,-110.6803029268702,58.0,136.0,142.0,241.0,288.0,320.0,7
155.0,58.0,-118.630852117421,57.0,111.0,115.0,153.0,299.0,333.0,7
161.0,45.0,-120.28032959375624,71.0,100.0,120.0,153.0,297.0,350.0,7
47.0,79.0,-120.12042662387624,34.0,133.0,157.0,192.0,235.0,350.0,7
51.0,78.0,-119.7983327094586,56.0,112.0,137.0,168.0,295.0,316.0,7
185.0,25.0,-122.96351338074874,3.0,111.0,141.0,217.0,276.0,343.0,7
159.0,4.0,-123.52356994811782,51.0,55.0,169.0,250.0,247.0,346.0,11
75.0,65.0,-118.64739089326892,26.0,134.0,140.0,166.0,299.0,306.0,7
153.0,64.0,-117.80855415447738,72.0,141.0,161.0,199.0,210.0,344.0,10
9.0,18.0,-125.41659866025506,31.0,104.0,115.0,244.0,300.0,327.0,7
107.0,102.0,-108.2380818961593,43.0,95.0,121.0,186.0,273.0,300.0,7
4.0,13.0,-125.82936478807908,46.0,84.0,145.0,208.0,226.0,290.0,7
172.0,9.0,-123.5352000574783,26.0,68.0,135.0,169.0,207.0,259.0,7
121.0,33.0,-120.456213211282,55.0,70.0,103.0,209.0,247.0,254.0,7
64.0,50.0,-120.73601668822675,48.0,92.0,117.0,242.0,203.0,294.0,7
16.0,54.0,-123.59606125401164,77.0,58.0,105.0,175.0,241.0,277.0,7
148.0,20.0,-122.04364336137895,65.0,110.0,179.0,200.0,205.0,269.0,11
1.0,64.0,-124.18558790321684,7.0,69.0,147.0,208.0,284.0,269.0,7
119.0,21.0,-121.62058712592396,53.0,110.0,182.0,203.0,226.0,275.0,10
141.0,52.0,-118.6364592684388,32.0,82.0,194.0,200.0,267.0,251.0,11
68.0,38.0,-121.45416442076694,44.0,136.0,158.0,161.0,241.0,324.0,9
77.0,35.0,-121.2810637450878,79.0,67.0,105.0,234.0,242.0,259.0,7
68.0,107.0,-116.10644315539014,94.0,117.0,137.0,215.0,250.0,258.0,7
50.0,58.0,-121.11603284698135,3.0,112.0,188.0,250.0,207.0,260.0,12
174.0,32.0,-121.98330651437254,33.0,143.0,158.0,235.0,294.0,344.0,10
89.0,32.0,-121.09254635714912,16.0,146.0,132.0,177.0,238.0,254.0,7
145.0,64.0,-117.28962433013884,47.0,110.0,150.0,201.0,220.0,254.0,7
82.0,22.0,-122.16593907820452,52.0,145.0,123.0,235.0,248.0,262.0,7
24.0,102.0,-121.5022667285059,65.0,124.0,154.0,195.0,263.0,337.0,9
167.0,78.0,-117.51520417576684,67.0,138.0,130.0,184.0,281.0,349.0,7
25.0,5.0,-125.32134219170727,94.0,139.0,191.0,191.0,212.0,319.0,11
2.0,2.0,-126.3327281043458,70.0,113.0,181.0,158.0,251.0,275.0,12
81.0,49.0,-119.82329819302814,14.0,50.0,190.0,183.0,226.0,308.0,11
111.0,110.0,-103.80827860184743,47.0,85.0,141.0,210.0,296.0,350.0,7
67.0,45.0,-120.9531854924404,83.0,133.0,108.0,173.0,289.0,315.0,7
102.0,58.0,-117.77903131290743,37.0,53.0,189.0,152.0,273.0,341.0,8
53.0,105.0,-118.330867412115,39.0,127.0,146.0,175.0,228.0,300.0,7
179.0,87.0,-118.1371410103917,5.0,121.0,105.0,206.0,288.0,316.0,7
77.0,108.0,-114.46615257386208,75.0,85.0,116.0,161.0,203.0,291.0,7
131.0,0.0,-123.38940801169448,49.0,94.0,162.0,181.0,209.0,334.0,12
32.0,36.0,-123.48490370031308,44.0,67.0,119.0,240.0,274.0,324.0,7
104.0,37.0,-120.20101839581665,89.0,98.0,189.0,200.0,296.0,306.0,7
59.0,108.0,-117.43744234803728,47.0,98.0,105.0,209.0,243.0,297.0,7
42.0,76.0,-120.72593475771323,78.0,108.0,131.0,228.0,268.0,285.0,7
33.0,76.0,-121.4899062341594,8.0,54.0,110.0,161.0,259.0,283.0,7
44.0,45.0,-122.31015644055566,22.0,129.0,194.0,165.0,254.0,331.0,9
138.0,83.0,-113.69160278994582,46.0,60.0,144.0,177.0,204.0,300.0,7
151.0,14.0,-122.598532986748,51.0,86.0,144.0,160.0,227.0,298.0,7
22.0,13.0,-125.07227038266647,69.0,147.0,194.0,190.0,233.0,273.0,11
158.0,18.0,-122.46567597358586,57.0,126.0,133.0,175.0,200.0,328.0,7
100.0,42.0,-119.76548006233229,88.0,73.0,196.0,171.0,285.0,261.0,7
78.0,77.0,-117.14361271740184,93.0,69.0,139.0,206.0,277.0,282.0,7
129.0,102.0,-107.25761805787418,79.0,61.0,179.0,211.0,216.0,333.0,11
81.0,96.0,-114.70150002357684,64.0,116.0,195.0,153.0,295.0,280.0,8
