,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,94.0,56.0,-118.3894795539214,142.0,151.0,218.0,230.0,319.0,395.0,7
1,167.0,32.0,-121.67551905255856,114.0,183.0,229.0,263.0,315.0,388.0,8
2,117.0,49.0,-118.63550441611464,105.0,177.0,256.0,249.0,306.0,356.0,7
3,68.0,31.0,-121.991835053901,126.0,161.0,287.0,209.0,307.0,385.0,8
4,111.0,104.0,-106.54579205507106,149.0,181.0,218.0,238.0,309.0,356.0,7
5,14.0,60.0,-123.4948749379131,116.0,187.0,290.0,210.0,342.0,359.0,10
6,161.0,89.0,-115.66665620427015,137.0,175.0,227.0,201.0,327.0,366.0,7
7,109.0,34.0,-120.42805267043224,127.0,165.0,212.0,210.0,329.0,374.0,7
8,49.0,43.0,-122.13667191725378,134.0,197.0,262.0,287.0,315.0,356.0,8
9,106.0,59.0,-117.49840204669653,137.0,194.0,236.0,294.0,344.0,350.0,7
10,137.0,25.0,-121.3856978394192,145.0,154.0,244.0,287.0,310.0,356.0,8
11,31.0,91.0,-121.12155474385636,112.0,156.0,209.0,253.0,318.0,395.0,8
12,57.0,93.0,-118.31957755168416,105.0,194.0,240.0,225.0,318.0,398.0,7
13,33.0,108.0,-120.54415121737162,129.0,180.0,245.0,217.0,303.0,367.0,7
14,143.0,42.0,-119.83871842384092,141.0,178.0,242.0,260.0,325.0,351.0,7
15,157.0,8.0,-123.19131034747753,113.0,191.0,252.0,231.0,314.0,386.0,9
16,111.0,107.0,-105.22848836790826,147.0,186.0,257.0,213.0,313.0,380.0,7
17,159.0,58.0,-118.88476379123574,132.0,188.0,254.0,289.0,334.0,353.0,7
18,179.0,39.0,-121.7112423072997,125.0,186.0,257.0,300.0,339.0,371.0,8
19,183.0,26.0,-122.80958221936947,124.0,152.0,246.0,296.0,317.0,363.0,9
20,52.0,43.0,-121.96221044134668,133.0,188.0,235.0,234.0,327.0,354.0,8
21,116.0,40.0,-119.71318767361402,123.0,185.0,204.0,260.0,328.0,389.0,7
22,124.0,82.0,-113.05074898393356,138.0,156.0,236.0,235.0,321.0,366.0,7
23,110.0,76.0,-114.56009218090344,118.0,182.0,240.0,295.0,312.0,399.0,7
24,139.0,35.0,-120.4595845756346,129.0,164.0,217.0,233.0,311.0,397.0,7
