x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
175.0,110.0,-116.40011908429062,104.0,115.0,257.0,280.0,321.0,322.0,7
36.0,86.0,-120.83084044478665,121.0,162.0,206.0,278.0,358.0,307.0,7
166.0,89.0,-116.3525045190087,182.0,152.0,261.0,240.0,357.0,348.0,7
94.0,49.0,-119.20115456366716,136.0,107.0,212.0,240.0,348.0,367.0,7
46.0,84.0,-119.96437431570936,195.0,125.0,297.0,280.0,352.0,360.0,7
178.0,98.0,-117.35190923741357,155.0,115.0,253.0,281.0,334.0,317.0,7
92.0,102.0,-111.84657909907942,169.0,107.0,253.0,266.0,375.0,339.0,7
154.0,71.0,-117.02840490450264,143.0,149.0,237.0,234.0,345.0,341.0,7
9.0,93.0,-122.91411193767576,179.0,144.0,206.0,250.0,341.0,344.0,7
39.0,10.0,-124.52868546520668,189.0,173.0,266.0,200.0,308.0,339.0,7
22.0,2.0,-125.57299541859273,102.0,168.0,232.0,290.0,317.0,341.0,7
9.0,100.0,-122.79814358394646,141.0,109.0,258.0,266.0,316.0,327.0,7
135.0,60.0,-117.37399585272952,141.0,183.0,221.0,233.0,364.0,391.0,7
178.0,25.0,-122.66172873928925,114.0,189.0,215.0,297.0,379.0,380.0,7
89.0,77.0,-116.01483673865346,183.0,103.0,226.0,272.0,304.0,331.0,7
86.0,4.0,-123.42402191538812,163.0,131.0,295.0,239.0,319.0,326.0,7
15.0,44.0,-124.05569749413598,106.0,156.0,241.0,228.0,333.0,395.0,7
10.0,97.0,-122.76590082666138,109.0,113.0,239.0,267.0,336.0,349.0,7
21.0,70.0,-122.65070761782468,192.0,158.0,263.0,208.0,342.0,398.0,7
117.0,50.0,-118.50810704867598,111.0,125.0,275.0,237.0,354.0,397.0,7
129.0,72.0,-115.25121041553744,195.0,108.0,262.0,245.0,375.0,330.0,7
18.0,0.0,-125.81100178218536,169.0,129.0,274.0,201.0,306.0,359.0,7
148.0,2.0,-123.44398131422128,161.0,181.0,215.0,213.0,313.0,381.0,7
8.0,89.0,-123.0689371306842,149.0,112.0,261.0,217.0,330.0,327.0,7
36.0,65.0,-121.75565227811,137.0,170.0,273.0,235.0,313.0,322.0,7
57.0,14.0,-123.60566587494765,169.0,121.0,249.0,212.0,376.0,324.0,7
51.0,63.0,-120.72149743805906,176.0,185.0,231.0,220.0,388.0,392.0,7
125.0,38.0,-119.93782793716105,173.0,162.0,235.0,212.0,379.0,358.0,7
116.0,69.0,-115.68122793159732,136.0,105.0,200.0,217.0,370.0,330.0,7
47.0,109.0,-118.98154420761958,134.0,134.0,256.0,287.0,308.0,346.0,7
133.0,23.0,-121.51285491833823,145.0,144.0,254.0,292.0,323.0,325.0,7
83.0,42.0,-120.39527457142792,136.0,107.0,205.0,261.0,384.0,366.0,7
133.0,52.0,-118.3922440087749,162.0,172.0,300.0,208.0,315.0,353.0,7
181.0,0.0,-124.37985729475125,168.0,135.0,253.0,250.0,366.0,320.0,7
130.0,101.0,-107.83617832863231,104.0,198.0,273.0,271.0,378.0,391.0,7
115.0,73.0,-114.971778008709,198.0,190.0,271.0,221.0,340.0,367.0,7
87.0,29.0,-121.42402807428044,177.0,142.0,296.0,238.0,363.0,349.0,7
99.0,102.0,-110.19521003714942,143.0,140.0,219.0,204.0,325.0,391.0,7
190.0,101.0,-118.7637405380518,151.0,100.0,276.0,231.0,382.0,389.0,7
63.0,52.0,-120.6439181444804,115.0,157.0,245.0,292.0,346.0,343.0,7
7.0,8.0,-125.90260652789776,129.0,195.0,204.0,209.0,354.0,331.0,7
109.0,36.0,-120.21976937236748,167.0,118.0,208.0,230.0,315.0,376.0,7
104.0,37.0,-120.20101839581665,159.0,197.0,225.0,280.0,377.0,307.0,7
98.0,69.0,-116.43038241822995,155.0,140.0,209.0,241.0,400.0,302.0,7
53.0,109.0,-118.22901100755664,154.0,109.0,210.0,246.0,387.0,310.0,7
136.0,96.0,-110.47949473394856,106.0,158.0,263.0,200.0,400.0,343.0,7
150.0,18.0,-122.25563142164393,162.0,109.0,256.0,282.0,346.0,376.0,7
2.0,57.0,-124.33859159011456,104.0,151.0,252.0,299.0,365.0,396.0,7
108.0,4.0,-123.09787048298358,139.0,132.0,208.0,206.0,349.0,352.0,7
48.0,17.0,-123.7769592784334,120.0,128.0,283.0,212.0,354.0,365.0,7
176.0,76.0,-118.61562058351268,157.0,147.0,270.0,261.0,390.0,396.0,7
53.0,57.0,-120.96646671953376,197.0,186.0,299.0,247.0,337.0,356.0,7
61.0,76.0,-118.96242776728089,200.0,199.0,282.0,264.0,302.0,307.0,7
10.0,70.0,-123.42191740092744,142.0,123.0,200.0,226.0,309.0,393.0,7
81.0,25.0,-121.95682151858897,131.0,157.0,293.0,248.0,335.0,399.0,7
35.0,18.0,-124.27259458157994,153.0,114.0,288.0,262.0,353.0,313.0,7
65.0,15.0,-123.24947659695138,190.0,107.0,225.0,255.0,387.0,337.0,7
47.0,42.0,-122.31487563353238,106.0,151.0,216.0,233.0,317.0,348.0,7
183.0,3.0,-124.26249547327456,121.0,193.0,255.0,278.0,359.0,306.0,7
127.0,70.0,-115.55275577215556,147.0,165.0,251.0,245.0,382.0,306.0,7
129.0,92.0,-110.68368222804612,177.0,128.0,293.0,228.0,394.0,311.0,7
168.0,81.0,-117.34119235152085,177.0,125.0,239.0,293.0,342.0,363.0,7
129.0,41.0,-119.64185094659264,189.0,168.0,241.0,244.0,316.0,387.0,7
130.0,7.0,-122.84506923461976,136.0,124.0,298.0,298.0,359.0,336.0,7
176.0,55.0,-120.30622366079344,141.0,112.0,280.0,240.0,314.0,397.0,7
167.0,68.0,-118.47965062919704,140.0,126.0,275.0,274.0,388.0,326.0,7
163.0,31.0,-121.59307065537044,128.0,163.0,234.0,237.0,361.0,398.0,7
78.0,6.0,-123.47024244170152,180.0,132.0,238.0,229.0,395.0,347.0,7
68.0,81.0,-117.84578335146692,140.0,177.0,201.0,203.0,311.0,300.0,7
150.0,14.0,-122.5761507705223,104.0,180.0,219.0,256.0,357.0,321.0,7
171.0,52.0,-120.22462622648568,106.0,191.0,251.0,270.0,375.0,373.0,7
85.0,86.0,-115.272700492478,129.0,196.0,281.0,287.0,360.0,333.0,7
