x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
94.0,56.0,-118.3894795539214,142.0,151.0,218.0,230.0,319.0,395.0,7
167.0,32.0,-121.67551905255856,114.0,183.0,229.0,263.0,315.0,388.0,7
117.0,49.0,-118.63550441611464,105.0,177.0,256.0,249.0,306.0,356.0,11
68.0,31.0,-121.991835053901,126.0,161.0,287.0,209.0,307.0,385.0,7
111.0,104.0,-106.54579205507106,149.0,181.0,218.0,238.0,309.0,356.0,7
14.0,60.0,-123.4948749379131,116.0,187.0,290.0,210.0,342.0,359.0,7
161.0,89.0,-115.66665620427015,137.0,175.0,227.0,201.0,327.0,366.0,7
109.0,34.0,-120.42805267043224,127.0,165.0,212.0,210.0,329.0,374.0,7
49.0,43.0,-122.13667191725378,134.0,197.0,262.0,287.0,315.0,356.0,12
106.0,59.0,-117.49840204669653,137.0,194.0,236.0,294.0,344.0,350.0,10
137.0,25.0,-121.3856978394192,145.0,154.0,244.0,287.0,310.0,356.0,10
31.0,91.0,-121.12155474385636,112.0,156.0,209.0,253.0,318.0,395.0,7
57.0,93.0,-118.31957755168416,105.0,194.0,240.0,225.0,318.0,398.0,7
33.0,108.0,-120.54415121737162,129.0,180.0,245.0,217.0,303.0,367.0,7
143.0,42.0,-119.83871842384092,141.0,178.0,242.0,260.0,325.0,351.0,10
157.0,8.0,-123.19131034747753,113.0,191.0,252.0,231.0,314.0,386.0,7
111.0,107.0,-105.22848836790826,147.0,186.0,257.0,213.0,313.0,380.0,7
159.0,58.0,-118.88476379123574,132.0,188.0,254.0,289.0,334.0,353.0,11
179.0,39.0,-121.7112423072997,125.0,186.0,257.0,300.0,339.0,371.0,9
183.0,26.0,-122.80958221936947,124.0,152.0,246.0,296.0,317.0,363.0,12
52.0,43.0,-121.96221044134668,133.0,188.0,235.0,234.0,327.0,354.0,7
116.0,40.0,-119.71318767361402,123.0,185.0,204.0,260.0,328.0,389.0,7
124.0,82.0,-113.05074898393356,138.0,156.0,236.0,235.0,321.0,366.0,7
110.0,76.0,-114.56009218090344,118.0,182.0,240.0,295.0,312.0,399.0,10
139.0,35.0,-120.4595845756346,129.0,164.0,217.0,233.0,311.0,397.0,7
20.0,102.0,-121.85777406278912,136.0,186.0,233.0,238.0,338.0,388.0,7
31.0,78.0,-121.57404664345536,115.0,181.0,298.0,283.0,316.0,400.0,7
6.0,90.0,-123.19732261022112,143.0,197.0,222.0,218.0,343.0,356.0,7
72.0,33.0,-121.6612217628126,102.0,151.0,246.0,294.0,319.0,387.0,12
30.0,73.0,-121.85551124843433,126.0,196.0,215.0,300.0,337.0,361.0,8
12.0,74.0,-123.16134391518104,118.0,190.0,253.0,239.0,306.0,397.0,7
133.0,20.0,-121.78278897006024,136.0,186.0,225.0,251.0,346.0,365.0,7
136.0,26.0,-121.27721483373033,139.0,176.0,218.0,212.0,333.0,366.0,7
74.0,56.0,-119.5779141460215,123.0,159.0,281.0,210.0,317.0,357.0,7
187.0,32.0,-122.60154103295494,150.0,179.0,260.0,282.0,333.0,377.0,11
190.0,46.0,-121.85481953407404,140.0,152.0,212.0,210.0,343.0,386.0,7
82.0,19.0,-122.40277241427488,128.0,169.0,251.0,234.0,325.0,385.0,7
119.0,45.0,-119.12069198446224,110.0,188.0,247.0,200.0,334.0,366.0,7
153.0,66.0,-117.56656498023798,115.0,151.0,283.0,211.0,312.0,370.0,7
36.0,11.0,-124.5948972324384,147.0,154.0,241.0,200.0,305.0,396.0,7
98.0,76.0,-115.34216024662088,129.0,168.0,205.0,247.0,322.0,361.0,7
107.0,13.0,-122.38856480415208,134.0,179.0,239.0,280.0,328.0,353.0,10
121.0,66.0,-116.1648196873411,149.0,162.0,293.0,270.0,342.0,381.0,7
84.0,78.0,-116.39783596187787,119.0,152.0,256.0,283.0,311.0,367.0,7
89.0,73.0,-116.55530879048491,132.0,191.0,299.0,259.0,306.0,357.0,7
5.0,77.0,-123.5651173260703,118.0,166.0,211.0,290.0,324.0,378.0,8
183.0,36.0,-122.13237859215916,137.0,198.0,237.0,207.0,302.0,370.0,7
43.0,108.0,-119.46865194167832,128.0,152.0,244.0,258.0,341.0,372.0,8
116.0,44.0,-119.25273058119431,124.0,192.0,285.0,242.0,309.0,396.0,9
115.0,85.0,-112.36941794442752,116.0,184.0,295.0,220.0,307.0,356.0,9
163.0,39.0,-120.9156142830563,131.0,182.0,221.0,208.0,317.0,366.0,7
71.0,10.0,-123.39120025222816,111.0,150.0,284.0,271.0,322.0,365.0,7
45.0,65.0,-121.06706031972158,150.0,184.0,207.0,271.0,308.0,353.0,7
12.0,48.0,-124.06810779525672,118.0,185.0,290.0,227.0,321.0,395.0,9
94.0,37.0,-120.4602813035429,120.0,185.0,265.0,215.0,342.0,361.0,7
155.0,5.0,-123.3626965906452,129.0,168.0,270.0,256.0,306.0,365.0,12
96.0,77.0,-115.3522999890632,125.0,192.0,270.0,203.0,300.0,375.0,7
175.0,101.0,-116.77124166024964,138.0,199.0,285.0,268.0,303.0,371.0,9
188.0,102.0,-118.48574374078572,124.0,170.0,286.0,219.0,340.0,360.0,9
76.0,59.0,-119.1571821364768,122.0,170.0,297.0,242.0,345.0,387.0,9
40.0,69.0,-121.24561610066198,124.0,160.0,264.0,259.0,322.0,351.0,11
100.0,72.0,-115.83844125356885,108.0,181.0,231.0,210.0,348.0,392.0,7
156.0,21.0,-122.17054879446124,111.0,172.0,206.0,231.0,311.0,358.0,7
169.0,70.0,-118.4667108659578,111.0,186.0,218.0,230.0,329.0,392.0,7
2.0,78.0,-123.7447870016851,115.0,155.0,293.0,219.0,334.0,365.0,9
88.0,0.0,-123.6673363932768,108.0,193.0,244.0,284.0,308.0,376.0,10
182.0,29.0,-122.5630594809478,105.0,188.0,246.0,267.0,330.0,383.0,10
159.0,47.0,-119.9899682530098,144.0,185.0,263.0,295.0,340.0,400.0,12
95.0,52.0,-118.81714410772004,119.0,190.0,273.0,203.0,309.0,381.0,7
81.0,40.0,-120.66939846257569,113.0,165.0,217.0,264.0,329.0,391.0,7
48.0,95.0,-119.27263751865924,116.0,182.0,298.0,242.0,318.0,352.0,9
184.0,32.0,-122.45477962949616,135.0,183.0,218.0,288.0,342.0,372.0,8
83.0,105.0,-113.46875602441013,133.0,164.0,228.0,279.0,329.0,371.0,10
47.0,79.0,-120.12042662387624,101.0,150.0,207.0,202.0,318.0,398.0,7
7.0,19.0,-125.46490142589744,141.0,188.0,276.0,208.0,301.0,366.0,7
97.0,66.0,-116.92585724396284,139.0,152.0,244.0,227.0,337.0,370.0,7
135.0,27.0,-121.16808912888936,118.0,184.0,226.0,291.0,336.0,379.0,8
44.0,95.0,-119.70882730654662,133.0,173.0,292.0,237.0,346.0,390.0,9
