x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
163.0,14.0,-122.91284560316348,181.0,112.0,295.0,240.0,390.0,375.0,9
40.0,70.0,-121.19477107378076,193.0,139.0,231.0,234.0,395.0,340.0,7
145.0,91.0,-113.0217056103837,107.0,121.0,231.0,240.0,339.0,375.0,7
57.0,27.0,-122.76620720210713,179.0,170.0,276.0,228.0,395.0,318.0,7
74.0,14.0,-123.01931792508049,143.0,118.0,210.0,258.0,339.0,381.0,7
81.0,56.0,-119.1246160706105,138.0,185.0,273.0,244.0,310.0,315.0,9
178.0,88.0,-117.95303954970584,153.0,147.0,254.0,229.0,352.0,358.0,7
40.0,105.0,-119.8608536086378,116.0,122.0,285.0,228.0,313.0,317.0,9
112.0,93.0,-110.34198729104826,151.0,198.0,216.0,218.0,330.0,383.0,7
70.0,15.0,-123.07763967683508,182.0,143.0,286.0,287.0,390.0,313.0,11
83.0,33.0,-121.21231855911287,197.0,151.0,251.0,264.0,331.0,317.0,12
158.0,6.0,-123.35893528965453,151.0,165.0,262.0,276.0,315.0,319.0,12
171.0,69.0,-118.73543925609178,178.0,120.0,206.0,258.0,390.0,314.0,7
36.0,4.0,-124.95471918128052,107.0,130.0,266.0,248.0,373.0,398.0,11
173.0,84.0,-117.65609909729191,133.0,142.0,284.0,283.0,385.0,385.0,9
73.0,65.0,-118.80830300994154,195.0,185.0,284.0,252.0,380.0,349.0,12
27.0,50.0,-123.08696731128182,172.0,153.0,298.0,218.0,378.0,331.0,9
156.0,45.0,-120.03810131738013,128.0,133.0,235.0,289.0,337.0,374.0,8
18.0,29.0,-124.534708137344,142.0,125.0,254.0,242.0,390.0,319.0,8
182.0,25.0,-122.83243377841168,145.0,134.0,205.0,245.0,338.0,348.0,7
64.0,73.0,-118.902584293907,171.0,140.0,215.0,263.0,348.0,370.0,7
169.0,105.0,-115.61778802807808,124.0,164.0,242.0,263.0,390.0,387.0,10
170.0,82.0,-117.4779558713256,112.0,106.0,252.0,288.0,386.0,315.0,12
103.0,56.0,-118.00659483443296,138.0,167.0,291.0,238.0,339.0,347.0,9
172.0,50.0,-120.455579472746,142.0,149.0,207.0,233.0,333.0,370.0,7
188.0,4.0,-124.36822871550116,136.0,172.0,294.0,272.0,312.0,380.0,9
180.0,78.0,-118.8661243612648,183.0,148.0,225.0,298.0,353.0,304.0,8
164.0,67.0,-118.32455117332351,125.0,194.0,218.0,203.0,307.0,349.0,7
49.0,98.0,-119.04655446470711,176.0,165.0,264.0,246.0,321.0,349.0,7
151.0,18.0,-122.27965530779709,168.0,131.0,266.0,246.0,381.0,314.0,10
52.0,79.0,-119.64406156732554,162.0,141.0,272.0,261.0,326.0,385.0,7
92.0,17.0,-122.3029445633358,115.0,150.0,263.0,273.0,302.0,336.0,10
104.0,59.0,-117.56755435764109,109.0,200.0,256.0,267.0,321.0,362.0,9
53.0,7.0,-124.17611690188178,155.0,146.0,214.0,278.0,370.0,367.0,7
62.0,36.0,-121.9046654093247,141.0,138.0,295.0,206.0,393.0,309.0,7
98.0,24.0,-121.57788694047292,104.0,187.0,287.0,208.0,331.0,351.0,7
120.0,1.0,-123.2781027895146,118.0,181.0,237.0,299.0,318.0,322.0,10
128.0,87.0,-111.98091682836248,163.0,140.0,215.0,262.0,306.0,388.0,7
51.0,59.0,-120.9791641246469,189.0,128.0,266.0,219.0,357.0,345.0,7
81.0,35.0,-121.1149432038867,109.0,157.0,244.0,278.0,312.0,355.0,10
190.0,71.0,-120.25970623497972,170.0,110.0,209.0,284.0,382.0,301.0,7
37.0,10.0,-124.6072179966049,102.0,116.0,270.0,283.0,369.0,323.0,10
80.0,11.0,-123.0619780205572,200.0,165.0,221.0,223.0,331.0,381.0,7
136.0,38.0,-120.08530549343588,139.0,122.0,236.0,271.0,379.0,395.0,8
38.0,105.0,-120.07562777028927,200.0,177.0,232.0,258.0,355.0,327.0,7
68.0,23.0,-122.5815810342537,179.0,109.0,242.0,230.0,301.0,381.0,7
67.0,44.0,-121.032986213548,142.0,165.0,245.0,204.0,386.0,311.0,7
101.0,28.0,-121.15185581181308,117.0,152.0,204.0,259.0,358.0,377.0,7
74.0,70.0,-118.24383008806127,160.0,116.0,202.0,217.0,399.0,347.0,7
49.0,46.0,-121.94688514693864,100.0,112.0,297.0,260.0,331.0,320.0,10
50.0,77.0,-119.95016288526244,139.0,195.0,227.0,208.0,306.0,337.0,7
184.0,63.0,-120.29132828567504,132.0,159.0,243.0,238.0,343.0,365.0,7
162.0,18.0,-122.58495218277548,107.0,154.0,237.0,272.0,369.0,391.0,10
66.0,64.0,-119.46113882088736,146.0,121.0,223.0,289.0,328.0,346.0,8
42.0,63.0,-121.40900490855913,105.0,165.0,253.0,212.0,383.0,398.0,7
186.0,8.0,-124.06354503417744,158.0,193.0,221.0,236.0,312.0,375.0,7
132.0,87.0,-112.2731494399634,193.0,189.0,295.0,215.0,356.0,387.0,9
8.0,68.0,-123.61758882404628,116.0,108.0,226.0,257.0,350.0,333.0,7
157.0,39.0,-120.65257458291092,158.0,115.0,250.0,252.0,390.0,356.0,8
138.0,83.0,-113.69160278994582,118.0,116.0,235.0,293.0,329.0,341.0,8
73.0,70.0,-118.3334644274116,129.0,163.0,203.0,295.0,369.0,336.0,7
9.0,60.0,-123.812630047884,123.0,200.0,238.0,283.0,346.0,388.0,10
163.0,71.0,-117.82582548444194,191.0,109.0,218.0,263.0,400.0,369.0,7
76.0,96.0,-115.51021016715852,171.0,143.0,226.0,258.0,392.0,384.0,7
126.0,19.0,-121.81457109084894,144.0,161.0,270.0,274.0,306.0,383.0,10
99.0,15.0,-122.3306127633962,152.0,127.0,211.0,295.0,308.0,388.0,8
178.0,107.0,-116.95825096808376,137.0,184.0,249.0,299.0,364.0,304.0,8
103.0,72.0,-115.64894230391062,194.0,117.0,221.0,259.0,399.0,312.0,7
41.0,107.0,-119.71187690051374,108.0,131.0,228.0,281.0,372.0,319.0,8
130.0,27.0,-121.1056316614862,165.0,141.0,275.0,255.0,315.0,369.0,9
182.0,41.0,-121.72936578486576,176.0,196.0,245.0,248.0,367.0,322.0,7
110.0,20.0,-121.7574511400509,181.0,161.0,226.0,212.0,321.0,317.0,7
188.0,50.0,-121.4674259737991,140.0,135.0,280.0,214.0,328.0,390.0,7
8.0,60.0,-123.87525373016774,161.0,181.0,249.0,243.0,356.0,380.0,8
180.0,56.0,-120.50559730378676,113.0,128.0,245.0,300.0,367.0,314.0,10
137.0,28.0,-121.10556709312776,164.0,121.0,214.0,209.0,375.0,362.0,7
142.0,89.0,-112.96467653874672,136.0,127.0,295.0,283.0,314.0,382.0,12
44.0,106.0,-119.39386535804886,140.0,149.0,238.0,226.0,345.0,315.0,7
29.0,93.0,-121.24675936039466,106.0,183.0,208.0,218.0,346.0,302.0,7
15.0,32.0,-124.55486042061732,172.0,108.0,219.0,228.0,330.0,346.0,7
118.0,29.0,-120.86353753749847,150.0,163.0,235.0,280.0,352.0,352.0,8
113.0,82.0,-113.16743660409874,161.0,141.0,264.0,232.0,371.0,379.0,9
64.0,58.0,-120.1025409148649,167.0,198.0,221.0,257.0,333.0,349.0,7
136.0,55.0,-118.08698426385678,168.0,130.0,208.0,279.0,304.0,347.0,7
78.0,50.0,-119.89306447919604,200.0,122.0,273.0,249.0,322.0,313.0,11
8.0,74.0,-123.44002093276896,130.0,100.0,294.0,232.0,344.0,392.0,9
145.0,48.0,-119.25271629516924,177.0,132.0,297.0,239.0,356.0,338.0,9
68.0,73.0,-118.52397397381358,184.0,124.0,276.0,277.0,386.0,318.0,12
45.0,75.0,-120.5136998885439,136.0,111.0,270.0,202.0,375.0,396.0,7
60.0,92.0,-118.0092569423135,105.0,188.0,221.0,253.0,309.0,371.0,7
31.0,39.0,-123.38707069242564,139.0,186.0,243.0,241.0,319.0,318.0,7
171.0,56.0,-119.88091616622688,188.0,102.0,265.0,226.0,381.0,398.0,7
74.0,104.0,-115.24907169822006,147.0,118.0,225.0,246.0,305.0,342.0,7
134.0,57.0,-117.7586122011322,165.0,200.0,270.0,256.0,302.0,378.0,11
91.0,108.0,-111.31541517627268,150.0,167.0,248.0,257.0,396.0,358.0,7
91.0,104.0,-111.80039036453776,137.0,147.0,218.0,212.0,384.0,333.0,7
52.0,44.0,-121.89649336833835,172.0,144.0,286.0,205.0,361.0,352.0,7
148.0,57.0,-118.3448632124146,136.0,159.0,244.0,251.0,317.0,344.0,7
29.0,27.0,-124.09046453110416,184.0,169.0,240.0,204.0,344.0,380.0,7
46.0,54.0,-121.64373436683304,177.0,155.0,242.0,260.0,393.0,316.0,7
49.0,98.0,-119.04655446470711,190.0,168.0,283.0,210.0,301.0,358.0,7
122.0,65.0,-116.33343516985076,131.0,153.0,296.0,203.0,331.0,369.0,7
125.0,15.0,-122.15920449222044,139.0,194.0,215.0,295.0,312.0,359.0,8
145.0,44.0,-119.690743643774,111.0,114.0,238.0,258.0,342.0,317.0,7
59.0,4.0,-124.15457761905893,174.0,197.0,230.0,238.0,314.0,320.0,7
95.0,22.0,-121.81739798065216,168.0,127.0,279.0,261.0,369.0,300.0,8
89.0,11.0,-122.84230059243,157.0,163.0,288.0,260.0,321.0,355.0,11
132.0,80.0,-113.83682003310489,132.0,175.0,262.0,269.0,359.0,373.0,11
49.0,90.0,-119.37481828306043,102.0,137.0,276.0,210.0,388.0,365.0,7
101.0,81.0,-114.21473061479747,103.0,158.0,284.0,203.0,374.0,308.0,7
189.0,88.0,-119.2002889025474,135.0,165.0,221.0,299.0,329.0,365.0,8
82.0,67.0,-117.87528992039812,167.0,134.0,259.0,230.0,330.0,324.0,7
47.0,54.0,-121.57595692512616,127.0,127.0,212.0,231.0,382.0,326.0,7
183.0,83.0,-118.84064246332454,184.0,153.0,221.0,204.0,388.0,400.0,7
32.0,3.0,-125.15266706984944,183.0,125.0,287.0,239.0,351.0,325.0,9
49.0,56.0,-121.31386014535644,170.0,195.0,269.0,271.0,331.0,301.0,8
75.0,18.0,-122.69680182983186,144.0,133.0,234.0,272.0,327.0,366.0,8
18.0,21.0,-124.8870664698198,199.0,148.0,214.0,289.0,389.0,343.0,8
46.0,77.0,-120.31828550571032,101.0,133.0,237.0,260.0,337.0,346.0,7
94.0,49.0,-119.20115456366716,177.0,179.0,233.0,255.0,337.0,365.0,7
33.0,69.0,-121.79484555856509,176.0,142.0,222.0,261.0,333.0,382.0,7
184.0,30.0,-122.58882545955726,183.0,160.0,262.0,211.0,325.0,330.0,7
183.0,106.0,-117.70380643340916,132.0,170.0,250.0,263.0,375.0,317.0,12
114.0,106.0,-104.88717061604756,129.0,138.0,259.0,239.0,357.0,311.0,9
111.0,52.0,-118.31985909906057,159.0,165.0,235.0,274.0,397.0,396.0,8
2.0,46.0,-124.7033151196208,126.0,143.0,265.0,228.0,392.0,309.0,7
122.0,35.0,-120.24831327665824,104.0,183.0,230.0,262.0,387.0,304.0,7
155.0,36.0,-120.849047249107,193.0,172.0,293.0,258.0,337.0,341.0,7
54.0,85.0,-119.09502179194186,196.0,181.0,205.0,227.0,328.0,319.0,7
171.0,102.0,-116.10871184277718,199.0,178.0,275.0,276.0,378.0,324.0,9
160.0,22.0,-122.21272791237016,154.0,130.0,212.0,222.0,334.0,379.0,7
1.0,19.0,-125.72997701769384,172.0,191.0,239.0,271.0,350.0,397.0,10
36.0,91.0,-120.65404189954538,104.0,101.0,221.0,258.0,302.0,396.0,7
128.0,84.0,-112.72409698807915,155.0,184.0,215.0,221.0,338.0,305.0,7
158.0,18.0,-122.46567597358586,157.0,169.0,217.0,258.0,399.0,337.0,7
184.0,95.0,-118.27795026228802,119.0,162.0,267.0,238.0,389.0,320.0,9
181.0,20.0,-123.12262367094336,188.0,184.0,284.0,267.0,398.0,323.0,8
10.0,24.0,-125.128174213879,163.0,183.0,200.0,273.0,353.0,305.0,7
134.0,72.0,-115.45753462149074,178.0,192.0,289.0,296.0,321.0,385.0,8
152.0,60.0,-118.21754977565354,133.0,196.0,224.0,274.0,388.0,310.0,8
118.0,77.0,-114.12959206171536,130.0,145.0,297.0,271.0,393.0,335.0,7
175.0,94.0,-117.17954495834596,106.0,197.0,272.0,224.0,328.0,319.0,7
47.0,79.0,-120.12042662387624,108.0,165.0,289.0,217.0,362.0,373.0,9
70.0,62.0,-119.31916801840984,130.0,167.0,255.0,204.0,334.0,308.0,7
99.0,34.0,-120.61807748742652,114.0,143.0,208.0,236.0,304.0,398.0,7
163.0,107.0,-114.42387104886912,161.0,175.0,205.0,206.0,365.0,340.0,7
184.0,106.0,-117.83973687964983,164.0,171.0,202.0,275.0,358.0,311.0,7
23.0,95.0,-121.7307749066022,188.0,117.0,224.0,227.0,333.0,396.0,7
58.0,66.0,-119.95848014732056,125.0,181.0,233.0,218.0,397.0,339.0,7
69.0,101.0,-116.24655171374678,125.0,145.0,291.0,269.0,305.0,300.0,7
152.0,26.0,-121.63815577323685,128.0,135.0,231.0,209.0,355.0,312.0,7
44.0,23.0,-123.6003649259037,175.0,187.0,219.0,288.0,315.0,376.0,8
35.0,84.0,-120.99727993210196,174.0,187.0,215.0,230.0,310.0,385.0,7
59.0,75.0,-119.22742493894395,176.0,133.0,223.0,250.0,335.0,379.0,7
44.0,83.0,-120.205547699857,188.0,157.0,213.0,223.0,327.0,357.0,7
103.0,85.0,-113.2401528699493,141.0,107.0,222.0,260.0,362.0,352.0,7
117.0,65.0,-116.3446204423336,191.0,121.0,236.0,291.0,314.0,330.0,8
2.0,93.0,-123.43582015776728,148.0,150.0,274.0,286.0,375.0,316.0,9
92.0,66.0,-117.24793995349282,174.0,153.0,257.0,266.0,345.0,326.0,12
5.0,71.0,-123.72758848942048,111.0,129.0,294.0,242.0,389.0,358.0,9
102.0,8.0,-122.849584316343,121.0,150.0,281.0,235.0,333.0,345.0,9
54.0,19.0,-123.40978399375712,114.0,130.0,208.0,213.0,337.0,314.0,7
20.0,37.0,-124.07943714818288,151.0,156.0,272.0,239.0,375.0,322.0,9
60.0,94.0,-117.896689249426,114.0,156.0,227.0,202.0,302.0,376.0,7
1.0,30.0,-125.3234596433357,115.0,179.0,231.0,274.0,334.0,355.0,8
75.0,43.0,-120.68890375613694,174.0,105.0,223.0,298.0,378.0,398.0,8
70.0,57.0,-119.76045627185462,195.0,126.0,283.0,226.0,368.0,386.0,9
147.0,28.0,-121.32361230585396,121.0,188.0,230.0,234.0,341.0,382.0,7
73.0,51.0,-120.09545891320624,189.0,115.0,241.0,248.0,400.0,314.0,7
179.0,24.0,-122.77247368825284,164.0,145.0,214.0,244.0,321.0,374.0,7
60.0,109.0,-117.26640028547556,174.0,106.0,299.0,296.0,324.0,367.0,12
175.0,76.0,-118.51602566685966,145.0,130.0,234.0,212.0,395.0,381.0,7
96.0,29.0,-121.16914354041604,162.0,107.0,225.0,224.0,305.0,370.0,7
35.0,81.0,-121.1149432038867,165.0,124.0,299.0,289.0,312.0,343.0,10
13.0,49.0,-123.97135684172508,143.0,124.0,229.0,224.0,383.0,356.0,7
106.0,89.0,-112.0360261157186,162.0,197.0,250.0,273.0,329.0,358.0,8
57.0,10.0,-123.8544813511228,154.0,194.0,216.0,289.0,363.0,319.0,8
98.0,91.0,-112.64741926374782,119.0,159.0,296.0,258.0,337.0,367.0,12
171.0,10.0,-123.43693903642816,139.0,190.0,247.0,293.0,343.0,309.0,9
147.0,87.0,-113.99493921558324,116.0,189.0,263.0,267.0,350.0,360.0,7
173.0,101.0,-116.4733067466976,183.0,106.0,203.0,233.0,317.0,335.0,7
82.0,27.0,-121.7591539506029,111.0,137.0,266.0,209.0,304.0,309.0,7
139.0,79.0,-114.5370500933447,190.0,177.0,214.0,211.0,342.0,361.0,7
70.0,82.0,-117.53672182625382,164.0,200.0,207.0,212.0,334.0,320.0,7
71.0,24.0,-122.39316139643935,152.0,103.0,276.0,279.0,349.0,306.0,9
114.0,71.0,-115.36295887194188,161.0,195.0,287.0,290.0,394.0,328.0,9
167.0,65.0,-118.7666963559576,122.0,171.0,285.0,203.0,351.0,322.0,7
49.0,72.0,-120.33112921409212,177.0,154.0,295.0,238.0,343.0,338.0,9
71.0,18.0,-122.83133090342696,104.0,177.0,263.0,217.0,345.0,336.0,7
179.0,58.0,-120.2821873751716,103.0,150.0,228.0,286.0,315.0,323.0,8
134.0,25.0,-121.34132342717471,172.0,145.0,275.0,201.0,330.0,400.0,7
178.0,49.0,-120.90601712200788,137.0,169.0,276.0,219.0,394.0,393.0,7
117.0,29.0,-120.86652614683504,193.0,162.0,212.0,295.0,362.0,362.0,8
114.0,39.0,-119.8390603078405,101.0,181.0,288.0,296.0,302.0,336.0,12
82.0,62.0,-118.42597668644146,161.0,112.0,224.0,257.0,392.0,396.0,7
58.0,97.0,-117.99644480132228,121.0,171.0,237.0,255.0,312.0,395.0,7
30.0,66.0,-122.15460125643656,168.0,173.0,203.0,203.0,379.0,340.0,7
90.0,31.0,-121.1519197218309,111.0,115.0,224.0,287.0,369.0,379.0,8
86.0,82.0,-115.6671499343239,178.0,158.0,230.0,267.0,347.0,394.0,8
36.0,81.0,-121.02719065477402,195.0,103.0,276.0,211.0,344.0,357.0,7
