x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5
60.0,86.0,-118.37639663653471,178.0,148.0,277.0,262.0,391.0,359.0
141.0,31.0,-120.89815165027724,147.0,155.0,293.0,230.0,310.0,359.0
102.0,77.0,-114.85776436376392,147.0,103.0,221.0,217.0,324.0,360.0
101.0,73.0,-115.6101130205524,105.0,108.0,226.0,294.0,349.0,354.0
5.0,73.0,-123.67175026183483,160.0,170.0,258.0,203.0,356.0,306.0
6.0,16.0,-125.62712896037917,161.0,188.0,269.0,288.0,303.0,320.0
65.0,20.0,-122.90852072307729,168.0,200.0,232.0,266.0,396.0,396.0
0.0,81.0,-123.81088375911622,193.0,131.0,271.0,283.0,319.0,321.0
128.0,52.0,-118.29526431840236,179.0,135.0,227.0,223.0,382.0,380.0
115.0,92.0,-110.42457263035105,136.0,119.0,212.0,229.0,394.0,316.0
87.0,106.0,-112.50460575164117,175.0,143.0,294.0,205.0,315.0,301.0
158.0,51.0,-119.54338540364856,121.0,200.0,287.0,226.0,353.0,344.0
120.0,62.0,-116.80661410903102,110.0,131.0,250.0,253.0,349.0,342.0
19.0,69.0,-122.8304598505413,155.0,196.0,247.0,294.0,368.0,310.0
114.0,36.0,-120.16469430122439,116.0,143.0,255.0,296.0,392.0,324.0
180.0,98.0,-117.62086628716258,166.0,111.0,212.0,261.0,358.0,334.0
17.0,73.0,-122.83570566058475,167.0,132.0,227.0,245.0,373.0,311.0
7.0,89.0,-123.143333009988,108.0,137.0,248.0,249.0,324.0,339.0
87.0,80.0,-115.81791297892855,195.0,103.0,234.0,284.0,356.0,385.0
137.0,79.0,-114.37819227832216,157.0,174.0,214.0,232.0,358.0,349.0
17.0,21.0,-124.9325433213468,106.0,118.0,231.0,269.0,358.0,393.0
65.0,70.0,-119.05156711711405,160.0,102.0,284.0,242.0,350.0,332.0
50.0,7.0,-124.28225103992912,125.0,125.0,291.0,240.0,363.0,367.0
81.0,63.0,-118.39050514508514,151.0,176.0,247.0,277.0,307.0,394.0
133.0,18.0,-121.95843511773322,129.0,151.0,208.0,251.0,312.0,358.0
108.0,94.0,-110.4982046441704,177.0,184.0,240.0,259.0,400.0,322.0
1.0,86.0,-123.63620513354078,197.0,142.0,214.0,294.0,316.0,340.0
95.0,55.0,-118.4620073665262,121.0,139.0,209.0,225.0,353.0,303.0
162.0,92.0,-115.49904610374205,114.0,167.0,226.0,237.0,301.0,367.0
118.0,6.0,-122.8929458001177,130.0,125.0,203.0,286.0,332.0,348.0
82.0,65.0,-118.09768718142053,121.0,158.0,228.0,275.0,307.0,333.0
116.0,33.0,-120.4666282161086,155.0,170.0,270.0,236.0,358.0,349.0
189.0,91.0,-119.05336552762276,167.0,125.0,284.0,248.0,339.0,388.0
65.0,56.0,-120.19242038038217,174.0,149.0,240.0,212.0,315.0,398.0
42.0,79.0,-120.58025657987946,108.0,115.0,263.0,206.0,373.0,346.0
172.0,93.0,-116.84134091230911,104.0,180.0,215.0,275.0,398.0,311.0
