,lambda,x,y,RSSI,SF
0,81.0,94.0,107.0,-110.6334024216562,7
1,118.0,158.0,52.0,-119.44242614375712,9
2,26.0,160.0,107.0,-113.8281715505564,7
3,11.0,113.0,22.0,-121.5529679777643,10
4,154.0,42.0,88.0,-120.1813130753657,9
5,151.0,162.0,27.0,-121.8813925865249,10
6,121.0,172.0,26.0,-122.34261408378576,11
7,58.0,104.0,73.0,-115.42143132979191,8
8,30.0,33.0,36.0,-123.4313431034078,12
9,91.0,155.0,68.0,-117.47790495548595,8
10,126.0,154.0,51.0,-119.33086685379888,9
11,91.0,153.0,88.0,-114.66528876351704,7
12,172.0,71.0,52.0,-120.13098699687367,9
13,29.0,65.0,63.0,-119.62310097288992,9
14,98.0,48.0,78.0,-120.08063720680524,9
15,21.0,103.0,57.0,-117.87458315748968,8
16,88.0,50.0,100.0,-118.85911537069248,9
17,54.0,2.0,101.0,-123.32023251874,12
18,147.0,84.0,62.0,-118.2852362617939,8
19,77.0,26.0,31.0,-124.0441954040284,12
20,118.0,172.0,14.0,-123.1965421047777,11
21,50.0,126.0,17.0,-121.9906986499152,10
22,23.0,147.0,71.0,-116.45734689682118,8
23,118.0,160.0,71.0,-117.5550916136598,8
24,37.0,134.0,12.0,-122.47610725118764,11
25,72.0,82.0,13.0,-122.86100040827704,11
26,14.0,38.0,4.0,-124.8811585417948,12
27,123.0,53.0,61.0,-120.69906859236312,10
28,193.0,27.0,83.0,-121.72546010305057,10
29,123.0,78.0,15.0,-122.82499379417791,11
30,149.0,84.0,99.0,-113.85720688477451,7
31,92.0,32.0,3.0,-125.15266706984944,12
32,171.0,136.0,11.0,-122.57977259712764,11
33,188.0,67.0,40.0,-121.34854251278637,10
34,185.0,158.0,97.0,-114.33903591772088,7
35,139.0,174.0,3.0,-123.98650141556256,12
36,155.0,55.0,15.0,-123.61908922742714,12
37,92.0,95.0,25.0,-121.5551708764672,10
38,126.0,74.0,92.0,-116.15534516869072,8
39,160.0,82.0,32.0,-121.33654574992644,10
40,48.0,32.0,5.0,-125.05408262865576,12
41,199.0,178.0,96.0,-117.4603206681899,8
42,103.0,183.0,88.0,-118.53574809213195,9
43,74.0,175.0,36.0,-121.73034496724716,10
44,144.0,70.0,16.0,-123.00754271226889,11
45,96.0,86.0,73.0,-116.82369714160438,8
46,23.0,104.0,77.0,-114.71407446960916,7
47,62.0,115.0,15.0,-122.16130214322835,10
48,183.0,16.0,69.0,-123.04164235621198,11
49,147.0,182.0,24.0,-122.89906708476757,11
50,141.0,186.0,12.0,-123.82178237427708,12
51,84.0,64.0,15.0,-123.28497610871602,12
52,108.0,110.0,80.0,-113.7521631599902,7
53,27.0,176.0,2.0,-124.10822646075198,12
54,88.0,134.0,78.0,-114.36007311764436,7
55,87.0,140.0,92.0,-112.06622647096064,7
56,92.0,66.0,104.0,-116.55231716747647,8
57,59.0,110.0,44.0,-119.31966725369053,9
58,62.0,131.0,30.0,-120.82476934568086,10
59,46.0,122.0,63.0,-116.65430118768175,8
60,100.0,143.0,45.0,-119.51412652681051,9
61,2.0,187.0,20.0,-123.36729513049944,12
62,115.0,142.0,78.0,-114.96677555657226,8
63,103.0,139.0,7.0,-122.93379600581366,11
64,152.0,155.0,35.0,-120.9402946157432,10
65,187.0,0.0,65.0,-124.2187162477192,12
66,23.0,102.0,47.0,-119.14830031956038,9
67,165.0,178.0,100.0,-117.25049145665304,8
68,97.0,180.0,67.0,-119.6753199707019,9
69,144.0,115.0,16.0,-122.0752876466262,10
70,175.0,140.0,110.0,-108.11082609026984,7
71,86.0,126.0,77.0,-114.19619666521037,7
72,143.0,11.0,82.0,-123.00935973554404,11
73,102.0,164.0,63.0,-118.7264912801348,9
74,180.0,15.0,47.0,-123.93415978404651,12
75,135.0,9.0,89.0,-122.99397172619187,11
76,178.0,92.0,72.0,-116.43695442243032,8
77,86.0,6.0,110.0,-122.92744126209992,11
78,142.0,131.0,36.0,-120.21267225352702,9
79,174.0,42.0,38.0,-122.83400911194305,11
80,87.0,110.0,102.0,-107.56438657906678,7
81,140.0,69.0,45.0,-120.84072539353448,10
82,97.0,37.0,8.0,-124.7113103234447,12
83,154.0,123.0,75.0,-114.54213737885776,7
84,17.0,32.0,47.0,-122.92609612510682,11
85,30.0,182.0,106.0,-117.5659080833311,8
86,186.0,142.0,35.0,-120.53100502400602,10
87,2.0,89.0,96.0,-113.3115356559729,7
88,45.0,89.0,27.0,-121.53749330694296,10
89,3.0,34.0,110.0,-120.41519214378197,10
90,2.0,61.0,3.0,-124.1526114096006,12
91,77.0,128.0,35.0,-120.28352034349284,9
92,182.0,161.0,23.0,-122.1662409636931,11
93,63.0,166.0,14.0,-123.0033338710935,11
94,50.0,85.0,96.0,-114.02049191094667,7
95,29.0,85.0,58.0,-118.66281597220669,9
96,124.0,137.0,53.0,-118.3757467507773,8
97,50.0,21.0,55.0,-123.24246023825526,12
98,65.0,111.0,87.0,-112.07964015245416,7
99,114.0,100.0,36.0,-120.3936673225464,9
