,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,188.0,33.0,-122.58637957666336,152.0,173.0,225.0,266.0,370.0,362.0,11
1,10.0,85.0,-123.00901209125422,133.0,132.0,292.0,214.0,385.0,380.0,11
2,99.0,77.0,-115.0943331632601,122.0,104.0,268.0,237.0,358.0,330.0,7
3,152.0,39.0,-120.45379167274704,114.0,165.0,276.0,209.0,379.0,305.0,9
4,109.0,4.0,-123.09009184272932,112.0,141.0,223.0,224.0,364.0,376.0,11
5,74.0,92.0,-116.15534516869072,140.0,186.0,297.0,282.0,363.0,393.0,7
6,96.0,29.0,-121.16914354041604,196.0,113.0,280.0,249.0,322.0,358.0,9
7,69.0,53.0,-120.17255835550702,162.0,185.0,238.0,286.0,367.0,331.0,9
8,99.0,72.0,-115.9063828364365,133.0,102.0,299.0,249.0,385.0,333.0,7
9,32.0,49.0,-122.82576208365144,131.0,100.0,204.0,270.0,400.0,343.0,11
10,104.0,7.0,-122.90389712507547,179.0,177.0,261.0,282.0,301.0,364.0,11
11,95.0,3.0,-123.33015695162666,113.0,149.0,290.0,244.0,328.0,345.0,12
12,9.0,71.0,-123.45929187108572,132.0,174.0,236.0,296.0,395.0,317.0,12
13,74.0,73.0,-117.95135590124264,199.0,100.0,209.0,203.0,355.0,398.0,8
14,97.0,83.0,-114.25478439677644,165.0,187.0,263.0,281.0,397.0,353.0,7
15,87.0,60.0,-118.31247707241432,151.0,128.0,233.0,283.0,307.0,308.0,8
16,90.0,16.0,-122.42907117534028,102.0,142.0,263.0,250.0,388.0,368.0,11
17,144.0,90.0,-113.05551510398234,101.0,111.0,212.0,297.0,367.0,338.0,7
18,70.0,61.0,-119.4079508453932,155.0,194.0,291.0,233.0,395.0,399.0,8
19,33.0,12.0,-124.66482711871912,181.0,169.0,202.0,262.0,358.0,385.0,12
20,133.0,30.0,-120.85037376509293,199.0,163.0,275.0,207.0,310.0,353.0,9
21,65.0,62.0,-119.70475797564862,114.0,200.0,236.0,236.0,368.0,348.0,9
22,156.0,71.0,-117.20113184938867,122.0,114.0,292.0,211.0,388.0,400.0,8
23,17.0,10.0,-125.41343281848236,126.0,162.0,263.0,221.0,302.0,333.0,12
24,153.0,54.0,-118.9557350357744,162.0,176.0,270.0,251.0,369.0,301.0,8
25,40.0,66.0,-121.4005832978042,157.0,181.0,254.0,255.0,381.0,323.0,10
26,162.0,58.0,-119.08316173381252,121.0,174.0,293.0,230.0,386.0,368.0,8
27,25.0,50.0,-123.21018139912576,120.0,160.0,208.0,224.0,317.0,343.0,11
28,20.0,25.0,-124.61597169447404,174.0,160.0,285.0,277.0,360.0,384.0,12
29,4.0,38.0,-124.8811585417948,196.0,118.0,204.0,240.0,316.0,315.0,12
30,171.0,11.0,-123.36912954055876,111.0,105.0,200.0,273.0,343.0,391.0,12
31,121.0,14.0,-122.2356822604321,148.0,133.0,215.0,244.0,312.0,320.0,10
32,27.0,65.0,-122.41572210175818,185.0,165.0,265.0,250.0,392.0,326.0,10
33,165.0,15.0,-122.90024412434656,155.0,108.0,211.0,275.0,385.0,384.0,11
34,21.0,33.0,-124.2059783840293,135.0,116.0,226.0,294.0,360.0,324.0,12
