,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,31.0,69.0,-121.94791759599308,124.0,193.0,219.0,279.0,318.0,398.0,8
1,9.0,77.0,-123.28668490151836,149.0,165.0,201.0,221.0,321.0,371.0,9
2,72.0,45.0,-120.67508863813792,124.0,182.0,278.0,273.0,348.0,373.0,8
3,14.0,0.0,-125.95970609479149,137.0,180.0,298.0,246.0,337.0,370.0,12
4,154.0,70.0,-117.15276278346256,110.0,175.0,272.0,263.0,303.0,364.0,7
5,69.0,52.0,-120.25735103712056,144.0,157.0,208.0,233.0,338.0,389.0,7
6,82.0,100.0,-114.1240623972998,150.0,160.0,277.0,244.0,318.0,365.0,7
7,61.0,79.0,-118.74547447621052,117.0,186.0,219.0,235.0,346.0,391.0,7
8,138.0,40.0,-119.9159960042557,137.0,158.0,235.0,250.0,325.0,400.0,7
9,105.0,53.0,-118.330867412115,108.0,193.0,241.0,286.0,302.0,356.0,7
10,42.0,16.0,-124.08222452211253,132.0,178.0,226.0,209.0,327.0,360.0,9
11,169.0,107.0,-115.5179454390362,126.0,153.0,291.0,220.0,345.0,386.0,7
12,170.0,29.0,-122.03571144798504,133.0,183.0,275.0,216.0,315.0,368.0,8
13,121.0,97.0,-108.51639777778573,138.0,200.0,226.0,242.0,305.0,376.0,7
14,41.0,50.0,-122.20626218769344,101.0,185.0,217.0,268.0,305.0,393.0,8
15,149.0,15.0,-122.47486199207282,149.0,156.0,279.0,297.0,320.0,365.0,8
16,35.0,18.0,-124.27259458157994,120.0,157.0,215.0,278.0,313.0,356.0,10
17,100.0,83.0,-113.93829231293984,124.0,164.0,207.0,285.0,327.0,395.0,7
18,107.0,92.0,-111.16945019302904,141.0,157.0,292.0,279.0,337.0,381.0,7
19,160.0,98.0,-114.58381432170518,146.0,178.0,204.0,215.0,349.0,351.0,7
20,79.0,29.0,-121.70077499981272,100.0,174.0,221.0,271.0,350.0,394.0,8
21,45.0,68.0,-120.89676744110268,132.0,161.0,278.0,275.0,311.0,366.0,8
22,69.0,98.0,-116.43038241822995,118.0,194.0,224.0,233.0,338.0,356.0,7
23,87.0,24.0,-121.8519740509354,131.0,190.0,248.0,280.0,341.0,378.0,8
24,143.0,93.0,-112.33170774623582,118.0,170.0,288.0,272.0,336.0,352.0,7
25,171.0,10.0,-123.43693903642816,121.0,169.0,298.0,288.0,319.0,360.0,9
26,15.0,39.0,-124.26149268606984,116.0,169.0,278.0,207.0,306.0,400.0,10
27,9.0,96.0,-122.86059737560026,105.0,171.0,265.0,276.0,338.0,355.0,8
28,69.0,31.0,-121.94791759599308,132.0,189.0,231.0,208.0,339.0,392.0,8
29,35.0,97.0,-120.57062445950206,148.0,183.0,210.0,215.0,342.0,384.0,8
30,119.0,24.0,-121.34339595171105,117.0,170.0,276.0,265.0,322.0,390.0,8
31,70.0,102.0,-116.03209740201171,142.0,199.0,219.0,219.0,316.0,389.0,7
32,172.0,83.0,-117.62182334356342,138.0,164.0,291.0,213.0,326.0,378.0,7
33,86.0,86.0,-115.14087568839268,131.0,160.0,208.0,216.0,318.0,398.0,7
34,25.0,18.0,-124.71062386415062,113.0,195.0,280.0,238.0,339.0,381.0,10
35,109.0,98.0,-109.1436716548287,119.0,171.0,296.0,205.0,321.0,395.0,7
36,164.0,75.0,-117.50506217053452,118.0,154.0,300.0,256.0,311.0,393.0,7
37,69.0,2.0,-123.97961849821468,146.0,181.0,237.0,252.0,313.0,382.0,9
