,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,123.0,23.0,-121.43957472534464,192.0,170.0,252.0,214.0,335.0,395.0,8
1,144.0,52.0,-118.75336846112792,157.0,175.0,250.0,200.0,337.0,352.0,7
2,36.0,5.0,-124.90370873765602,104.0,165.0,278.0,262.0,332.0,386.0,11
3,87.0,67.0,-117.48315965732826,101.0,156.0,226.0,290.0,305.0,382.0,7
4,14.0,85.0,-122.70723025012344,183.0,112.0,241.0,231.0,358.0,349.0,9
5,122.0,13.0,-122.3212690776886,168.0,131.0,221.0,277.0,353.0,313.0,8
6,175.0,60.0,-119.82933359634282,189.0,158.0,203.0,208.0,385.0,378.0,7
7,118.0,92.0,-110.29959158707511,149.0,110.0,281.0,275.0,321.0,301.0,7
8,107.0,88.0,-112.17172390625512,187.0,179.0,226.0,263.0,305.0,379.0,7
9,178.0,66.0,-119.58454427728232,168.0,118.0,294.0,267.0,306.0,386.0,7
10,52.0,65.0,-120.51402031341816,180.0,138.0,296.0,263.0,323.0,320.0,8
11,168.0,86.0,-116.88428283342748,137.0,129.0,218.0,254.0,350.0,326.0,7
12,59.0,59.0,-120.39082932040408,111.0,109.0,281.0,218.0,329.0,371.0,8
13,30.0,41.0,-123.34298615082416,114.0,173.0,240.0,235.0,362.0,308.0,9
14,89.0,51.0,-119.20627917076598,139.0,115.0,265.0,290.0,375.0,381.0,7
15,189.0,14.0,-123.81457483209792,104.0,108.0,297.0,205.0,353.0,303.0,10
16,22.0,89.0,-121.9638032577894,155.0,117.0,281.0,260.0,302.0,321.0,8
17,0.0,53.0,-124.58275824672518,113.0,151.0,200.0,220.0,376.0,363.0,11
18,162.0,77.0,-117.08978984367116,136.0,150.0,221.0,300.0,310.0,369.0,7
19,174.0,101.0,-116.62334470571604,148.0,165.0,256.0,246.0,333.0,362.0,7
20,170.0,44.0,-120.8398694609488,131.0,164.0,290.0,229.0,305.0,351.0,8
21,154.0,5.0,-123.34130087591126,164.0,157.0,214.0,264.0,380.0,388.0,9
22,175.0,43.0,-121.19391636059598,130.0,198.0,290.0,268.0,386.0,300.0,8
23,23.0,64.0,-122.7396139657916,113.0,126.0,207.0,296.0,325.0,320.0,9
24,161.0,63.0,-118.50043501092505,112.0,147.0,294.0,264.0,375.0,328.0,7
25,93.0,24.0,-121.69101922038404,135.0,119.0,288.0,215.0,389.0,395.0,8
26,41.0,8.0,-124.55844208454664,157.0,179.0,240.0,209.0,354.0,355.0,11
27,27.0,99.0,-121.285400382927,176.0,103.0,258.0,262.0,306.0,379.0,8
28,87.0,39.0,-120.51188732152164,125.0,173.0,215.0,258.0,321.0,387.0,8
29,84.0,43.0,-120.25543259769093,183.0,155.0,254.0,230.0,374.0,395.0,7
30,72.0,74.0,-118.04894546768202,136.0,142.0,273.0,201.0,301.0,301.0,7
31,82.0,17.0,-122.55775829406306,114.0,109.0,255.0,246.0,374.0,364.0,9
32,175.0,42.0,-121.27159090881548,196.0,137.0,274.0,257.0,394.0,338.0,8
33,156.0,34.0,-121.06744535423375,156.0,115.0,218.0,261.0,338.0,359.0,8
34,165.0,42.0,-120.74995525551812,124.0,145.0,242.0,271.0,328.0,349.0,8
35,99.0,50.0,-118.8940516003671,187.0,178.0,232.0,212.0,381.0,318.0,7
36,41.0,32.0,-123.22981417874078,190.0,121.0,245.0,266.0,365.0,383.0,9
37,125.0,10.0,-122.57761793819968,189.0,185.0,253.0,267.0,377.0,344.0,9
38,101.0,66.0,-116.69988096451186,198.0,105.0,283.0,290.0,382.0,349.0,7
39,179.0,91.0,-117.88221602240418,140.0,198.0,220.0,267.0,320.0,316.0,7
40,148.0,60.0,-117.97971254314204,163.0,175.0,300.0,225.0,343.0,350.0,7
41,143.0,30.0,-121.03926008520536,104.0,182.0,258.0,299.0,358.0,400.0,8
42,180.0,64.0,-119.90123958758984,154.0,122.0,200.0,208.0,329.0,386.0,7
43,27.0,109.0,-121.12195404994196,120.0,141.0,221.0,248.0,357.0,316.0,8
44,136.0,23.0,-121.55279253590427,177.0,160.0,232.0,219.0,376.0,328.0,8
45,149.0,52.0,-118.97479146558987,188.0,169.0,266.0,206.0,374.0,354.0,7
46,77.0,61.0,-118.88958376235276,137.0,132.0,212.0,253.0,369.0,369.0,7
47,189.0,23.0,-123.26604131475108,157.0,135.0,231.0,226.0,395.0,322.0,9
48,186.0,4.0,-124.30113160645716,125.0,156.0,210.0,212.0,399.0,380.0,10
49,42.0,69.0,-121.08489254525034,126.0,161.0,256.0,204.0,374.0,333.0,8
50,162.0,4.0,-123.59561482237248,164.0,146.0,205.0,269.0,316.0,360.0,9
51,85.0,61.0,-118.32914692356246,113.0,178.0,283.0,221.0,380.0,308.0,7
52,83.0,84.0,-115.77798318185856,194.0,141.0,264.0,276.0,374.0,320.0,7
53,14.0,60.0,-123.4948749379131,193.0,160.0,218.0,222.0,303.0,398.0,9
54,46.0,8.0,-124.37101397663182,165.0,113.0,271.0,280.0,366.0,302.0,10
55,74.0,35.0,-121.4118559535632,194.0,104.0,267.0,300.0,390.0,399.0,8
56,148.0,76.0,-115.82056989582507,110.0,117.0,274.0,289.0,333.0,356.0,7
57,179.0,79.0,-118.69244634763754,100.0,100.0,295.0,237.0,361.0,368.0,7
58,44.0,31.0,-123.13607334740168,120.0,103.0,253.0,291.0,399.0,340.0,9
59,9.0,6.0,-125.90331694161436,179.0,101.0,249.0,291.0,363.0,370.0,12
60,112.0,30.0,-120.7988908860651,104.0,109.0,232.0,247.0,379.0,337.0,8
61,104.0,16.0,-122.17233224193625,197.0,177.0,237.0,265.0,303.0,361.0,8
62,78.0,55.0,-119.41316117642012,196.0,189.0,249.0,281.0,346.0,390.0,7
63,109.0,96.0,-109.7730899374848,167.0,188.0,258.0,237.0,334.0,365.0,7
64,88.0,82.0,-115.43336891647272,150.0,139.0,220.0,233.0,341.0,391.0,7
65,21.0,45.0,-123.6712229737029,116.0,123.0,223.0,281.0,399.0,378.0,10
66,85.0,50.0,-119.51290797412824,132.0,155.0,207.0,212.0,324.0,336.0,7
67,78.0,95.0,-115.28570550193268,158.0,197.0,264.0,221.0,382.0,364.0,7
68,97.0,30.0,-121.05161059747736,200.0,199.0,284.0,291.0,352.0,314.0,8
69,44.0,67.0,-121.032986213548,188.0,106.0,240.0,245.0,371.0,373.0,8
70,60.0,58.0,-120.39203279302518,129.0,159.0,263.0,225.0,388.0,391.0,8
71,6.0,75.0,-123.54944886026792,174.0,113.0,252.0,280.0,328.0,385.0,9
72,95.0,17.0,-122.23922552541546,133.0,194.0,248.0,258.0,392.0,332.0,8
73,163.0,94.0,-115.45519960640505,130.0,108.0,271.0,207.0,346.0,352.0,7
74,179.0,25.0,-122.70393191595446,164.0,105.0,246.0,259.0,367.0,363.0,9
75,41.0,102.0,-119.8207697403036,100.0,197.0,237.0,226.0,396.0,373.0,7
76,106.0,91.0,-111.54738588693029,134.0,198.0,291.0,221.0,336.0,313.0,7
77,129.0,54.0,-118.04684130334144,103.0,183.0,229.0,231.0,386.0,338.0,7
78,50.0,47.0,-121.82192187632378,155.0,167.0,244.0,209.0,373.0,342.0,8
79,169.0,71.0,-118.37406767520493,101.0,173.0,205.0,269.0,399.0,399.0,7
80,144.0,44.0,-119.656543791459,150.0,170.0,298.0,205.0,394.0,365.0,7
81,82.0,101.0,-114.02780655812272,144.0,113.0,219.0,286.0,313.0,322.0,7
