x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
113.0,38.0,-119.95786804307974,174.0,155.0,237.0,271.0,345.0,371.0,10
91.0,3.0,-123.39810038442788,149.0,193.0,296.0,290.0,335.0,382.0,12
164.0,76.0,-117.40183492234524,146.0,138.0,203.0,239.0,311.0,345.0,7
2.0,53.0,-124.46782252837698,176.0,126.0,247.0,296.0,386.0,387.0,8
24.0,29.0,-124.23883372492293,132.0,116.0,239.0,246.0,398.0,377.0,7
92.0,47.0,-119.50261721623517,129.0,128.0,281.0,237.0,400.0,395.0,11
119.0,24.0,-121.34339595171105,165.0,136.0,292.0,264.0,354.0,395.0,9
116.0,31.0,-120.6708645614966,169.0,138.0,203.0,204.0,315.0,342.0,7
18.0,24.0,-124.75469791394482,138.0,143.0,237.0,240.0,320.0,321.0,7
83.0,83.0,-115.8991954537774,161.0,177.0,246.0,256.0,373.0,324.0,9
1.0,106.0,-123.34218294385336,135.0,144.0,218.0,224.0,398.0,322.0,7
61.0,40.0,-121.66579066603109,140.0,111.0,222.0,214.0,374.0,379.0,7
45.0,110.0,-119.20257303126608,196.0,186.0,263.0,228.0,367.0,377.0,7
103.0,50.0,-118.7630226811144,166.0,178.0,284.0,227.0,353.0,387.0,9
133.0,45.0,-119.24708815666864,138.0,173.0,204.0,278.0,301.0,347.0,7
25.0,110.0,-121.30036307967912,107.0,115.0,211.0,273.0,383.0,315.0,7
162.0,73.0,-117.52106678156264,153.0,176.0,258.0,228.0,393.0,386.0,7
190.0,31.0,-122.81303731246244,154.0,192.0,273.0,200.0,380.0,303.0,7
134.0,99.0,-109.2766641010374,150.0,183.0,268.0,287.0,312.0,384.0,12
50.0,33.0,-122.7130827552094,158.0,185.0,258.0,252.0,385.0,399.0,11
165.0,88.0,-116.31264449659848,110.0,108.0,224.0,206.0,389.0,334.0,7
62.0,17.0,-123.22496654566964,196.0,143.0,289.0,205.0,326.0,379.0,7
111.0,79.0,-113.9115684747984,117.0,136.0,244.0,289.0,332.0,379.0,10
133.0,65.0,-116.5629480241958,167.0,155.0,277.0,226.0,329.0,336.0,9
99.0,12.0,-122.57479009925734,133.0,147.0,293.0,275.0,361.0,331.0,8
80.0,11.0,-123.0619780205572,121.0,131.0,236.0,247.0,378.0,311.0,7
48.0,8.0,-124.29735858890078,122.0,198.0,266.0,258.0,313.0,338.0,9
58.0,51.0,-121.04395249820276,110.0,183.0,296.0,229.0,331.0,354.0,9
14.0,105.0,-122.3276433169641,101.0,102.0,274.0,200.0,341.0,327.0,7
118.0,23.0,-121.43841926866747,106.0,185.0,247.0,211.0,395.0,381.0,7
133.0,76.0,-114.68343068283716,116.0,174.0,209.0,288.0,373.0,343.0,7
15.0,24.0,-124.8950657599195,177.0,114.0,220.0,264.0,396.0,305.0,7
65.0,101.0,-116.84669311168356,195.0,193.0,257.0,218.0,379.0,337.0,7
188.0,28.0,-122.90694950297204,165.0,179.0,211.0,209.0,333.0,318.0,7
22.0,31.0,-124.24601623639715,108.0,126.0,203.0,237.0,321.0,339.0,7
49.0,103.0,-118.8835214241926,130.0,165.0,201.0,264.0,355.0,337.0,7
172.0,53.0,-120.20395501949288,119.0,137.0,260.0,202.0,339.0,387.0,7
159.0,108.0,-113.55229290055136,184.0,107.0,261.0,272.0,327.0,335.0,9
30.0,109.0,-120.8309676060102,130.0,145.0,255.0,216.0,314.0,398.0,7
24.0,43.0,-123.58852131426988,144.0,182.0,266.0,217.0,360.0,374.0,7
126.0,103.0,-106.29071252114936,157.0,183.0,258.0,257.0,397.0,340.0,12
120.0,77.0,-114.117464325629,111.0,182.0,210.0,252.0,393.0,394.0,7
4.0,10.0,-125.9456533686616,166.0,124.0,213.0,237.0,396.0,354.0,7
32.0,36.0,-123.48490370031308,115.0,132.0,243.0,266.0,381.0,349.0,10
17.0,72.0,-122.86903687821516,129.0,150.0,280.0,284.0,313.0,362.0,11
140.0,99.0,-110.50851303557378,190.0,187.0,240.0,276.0,398.0,374.0,10
74.0,33.0,-121.57452428962242,121.0,114.0,250.0,226.0,395.0,335.0,7
135.0,66.0,-116.4856779875364,187.0,139.0,209.0,219.0,349.0,355.0,7
160.0,77.0,-116.88136106694812,160.0,180.0,238.0,274.0,328.0,308.0,10
111.0,7.0,-122.84185192631564,198.0,140.0,259.0,200.0,328.0,371.0,7
141.0,12.0,-122.5667453978244,116.0,143.0,226.0,224.0,379.0,387.0,7
132.0,31.0,-120.73809591909476,184.0,134.0,230.0,298.0,353.0,358.0,10
114.0,3.0,-123.13815064257736,194.0,125.0,201.0,203.0,391.0,312.0,7
82.0,33.0,-121.25004942711922,164.0,157.0,219.0,269.0,367.0,389.0,7
135.0,38.0,-120.06563284172056,154.0,164.0,230.0,254.0,374.0,366.0,7
75.0,83.0,-116.86265869858062,102.0,196.0,290.0,263.0,323.0,343.0,11
9.0,56.0,-123.95100556847972,120.0,166.0,264.0,266.0,348.0,321.0,8
178.0,88.0,-117.95303954970584,162.0,176.0,260.0,297.0,387.0,370.0,8
106.0,74.0,-115.13292974726444,111.0,128.0,220.0,284.0,364.0,326.0,8
112.0,48.0,-118.81057016853468,177.0,171.0,281.0,271.0,347.0,366.0,10
147.0,1.0,-123.49966622329076,143.0,123.0,244.0,217.0,396.0,310.0,7
24.0,0.0,-125.5897778334732,113.0,146.0,219.0,248.0,345.0,357.0,7
41.0,72.0,-121.01151450172986,100.0,143.0,293.0,226.0,333.0,359.0,9
126.0,90.0,-111.04838824650852,116.0,137.0,216.0,243.0,352.0,303.0,7
97.0,41.0,-119.96032092104848,137.0,135.0,272.0,255.0,324.0,391.0,9
132.0,0.0,-123.3963692043862,156.0,194.0,226.0,216.0,372.0,367.0,7
19.0,61.0,-123.13030888857044,121.0,176.0,297.0,226.0,342.0,371.0,9
173.0,11.0,-123.43309047527978,159.0,193.0,283.0,244.0,385.0,335.0,11
189.0,109.0,-118.42093485003184,126.0,167.0,210.0,299.0,341.0,335.0,8
138.0,14.0,-122.35966231968187,138.0,142.0,289.0,235.0,323.0,310.0,11
30.0,22.0,-124.29179590954244,138.0,183.0,217.0,252.0,317.0,300.0,7
77.0,8.0,-123.35698248673546,199.0,153.0,300.0,292.0,334.0,350.0,11
97.0,93.0,-112.41594176539752,141.0,185.0,222.0,258.0,333.0,371.0,7
109.0,45.0,-119.21938685842592,100.0,170.0,263.0,260.0,369.0,370.0,10
5.0,47.0,-124.50247521615056,155.0,115.0,258.0,273.0,390.0,373.0,8
170.0,6.0,-123.6750847469942,161.0,133.0,208.0,206.0,358.0,378.0,7
150.0,19.0,-122.17384518531972,169.0,192.0,270.0,241.0,309.0,323.0,11
84.0,83.0,-115.77798318185856,175.0,143.0,248.0,225.0,399.0,370.0,7
145.0,4.0,-123.24801134481145,146.0,136.0,248.0,241.0,388.0,339.0,7
71.0,109.0,-115.52061442988798,142.0,169.0,294.0,217.0,303.0,367.0,9
