,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,22.0,51.0,-123.3501705675938,161.0,165.0,236.0,212.0,373.0,311.0,9
1,129.0,104.0,-106.424391763556,197.0,171.0,237.0,226.0,328.0,333.0,7
2,155.0,107.0,-112.7510083016506,125.0,170.0,235.0,203.0,333.0,332.0,7
3,79.0,13.0,-122.94333031942594,132.0,184.0,261.0,207.0,396.0,369.0,9
4,66.0,64.0,-119.46113882088736,152.0,102.0,200.0,202.0,362.0,320.0,7
5,40.0,33.0,-123.22467549633149,172.0,199.0,290.0,259.0,389.0,395.0,9
6,162.0,47.0,-120.14603697424717,124.0,105.0,271.0,261.0,383.0,338.0,7
7,164.0,72.0,-117.81409558339293,171.0,112.0,272.0,243.0,383.0,340.0,7
8,39.0,42.0,-122.77634951813889,132.0,176.0,209.0,257.0,331.0,326.0,8
9,93.0,4.0,-123.28964035979013,123.0,187.0,206.0,290.0,335.0,351.0,9
10,28.0,14.0,-124.77298194627312,185.0,135.0,292.0,203.0,339.0,321.0,11
11,57.0,2.0,-124.33859159011456,170.0,102.0,269.0,265.0,399.0,304.0,10
12,180.0,91.0,-118.0047992108024,182.0,109.0,203.0,296.0,381.0,351.0,7
13,5.0,11.0,-125.8655969120525,105.0,116.0,287.0,217.0,382.0,388.0,12
14,117.0,106.0,-104.32134559455272,163.0,158.0,244.0,210.0,381.0,336.0,7
15,28.0,72.0,-122.05159524085312,136.0,117.0,213.0,200.0,316.0,391.0,8
16,79.0,2.0,-123.72080481335982,148.0,196.0,248.0,209.0,376.0,321.0,9
17,89.0,79.0,-115.7385137137858,119.0,183.0,221.0,271.0,307.0,357.0,7
18,73.0,72.0,-118.14249134180832,112.0,198.0,218.0,299.0,369.0,371.0,7
19,166.0,33.0,-121.55250011765958,143.0,156.0,292.0,201.0,353.0,346.0,8
20,33.0,34.0,-123.53483734685196,126.0,122.0,267.0,249.0,324.0,344.0,9
21,139.0,18.0,-122.03807733081908,172.0,153.0,214.0,215.0,339.0,372.0,8
22,139.0,31.0,-120.85547527344364,143.0,189.0,231.0,217.0,362.0,379.0,8
23,113.0,28.0,-120.98708875491748,139.0,106.0,270.0,271.0,309.0,339.0,8
24,156.0,107.0,-112.975558867531,103.0,129.0,236.0,271.0,324.0,311.0,7
25,180.0,97.0,-117.67116392699224,118.0,106.0,214.0,225.0,387.0,367.0,7
26,177.0,99.0,-117.1616078284342,189.0,160.0,289.0,225.0,330.0,393.0,7
27,106.0,47.0,-119.04404605079328,118.0,178.0,282.0,290.0,334.0,339.0,7
28,170.0,42.0,-121.00518649528948,153.0,100.0,234.0,203.0,332.0,380.0,8
29,91.0,2.0,-123.47035157994468,104.0,120.0,204.0,283.0,383.0,390.0,9
30,77.0,24.0,-122.17346734883084,150.0,120.0,223.0,300.0,374.0,341.0,8
31,182.0,3.0,-124.23059214863872,150.0,189.0,293.0,227.0,310.0,327.0,10
32,181.0,56.0,-120.57574000833829,122.0,190.0,234.0,268.0,396.0,396.0,7
33,160.0,102.0,-114.21648575430449,121.0,102.0,292.0,204.0,337.0,353.0,7
34,142.0,76.0,-115.300204900308,139.0,134.0,215.0,281.0,304.0,359.0,7
35,139.0,71.0,-115.90132408506074,185.0,150.0,283.0,255.0,390.0,340.0,7
36,67.0,108.0,-116.22907553273583,164.0,130.0,203.0,285.0,340.0,350.0,7
37,170.0,54.0,-119.98780874157652,131.0,183.0,285.0,297.0,316.0,314.0,7
38,110.0,39.0,-119.88376212216691,161.0,173.0,250.0,215.0,330.0,327.0,7
39,91.0,31.0,-121.12155474385636,108.0,138.0,226.0,239.0,391.0,301.0,8
40,160.0,18.0,-122.52420700977603,143.0,112.0,228.0,300.0,309.0,308.0,8
41,24.0,8.0,-125.22104269477708,173.0,186.0,219.0,276.0,317.0,393.0,11
42,153.0,106.0,-112.38564282405392,121.0,197.0,267.0,204.0,311.0,322.0,7
43,27.0,24.0,-124.33259242435088,102.0,145.0,249.0,263.0,362.0,391.0,10
44,51.0,10.0,-124.07143503016772,166.0,193.0,238.0,218.0,369.0,398.0,10
45,176.0,53.0,-120.46588434953745,188.0,180.0,244.0,261.0,318.0,366.0,7
46,165.0,74.0,-117.70575405924892,141.0,181.0,229.0,210.0,341.0,337.0,7
47,18.0,30.0,-124.49085151320062,134.0,159.0,228.0,258.0,387.0,320.0,10
48,164.0,57.0,-119.31542924830704,102.0,112.0,288.0,291.0,308.0,379.0,7
