x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
87.0,110.0,-112.15300186730688,118.0,196.0,299.0,292.0,386.0,364.0,8
23.0,110.0,-121.48595197550952,119.0,154.0,257.0,219.0,400.0,356.0,7
123.0,28.0,-120.9632103650141,119.0,170.0,275.0,277.0,400.0,393.0,9
104.0,14.0,-122.33997907574228,168.0,130.0,276.0,271.0,398.0,379.0,10
3.0,1.0,-126.33305105943064,145.0,163.0,286.0,255.0,381.0,301.0,11
189.0,90.0,-119.10127184273006,156.0,120.0,292.0,241.0,350.0,323.0,7
118.0,101.0,-106.86866010878916,139.0,136.0,285.0,209.0,393.0,311.0,7
18.0,33.0,-124.35966750848708,175.0,106.0,272.0,246.0,353.0,329.0,12
150.0,85.0,-114.69744475330717,135.0,102.0,281.0,255.0,354.0,362.0,11
34.0,72.0,-121.58170345121994,145.0,174.0,283.0,210.0,382.0,312.0,7
5.0,24.0,-125.35986582988728,151.0,119.0,261.0,240.0,390.0,350.0,7
162.0,30.0,-121.63668532919246,195.0,104.0,271.0,246.0,354.0,386.0,8
137.0,80.0,-114.18855270799654,190.0,153.0,260.0,268.0,378.0,316.0,9
87.0,18.0,-122.34298952140784,200.0,143.0,279.0,218.0,392.0,329.0,7
136.0,33.0,-120.60055126547844,102.0,111.0,258.0,274.0,386.0,324.0,8
174.0,4.0,-123.92265916235108,155.0,197.0,254.0,265.0,351.0,349.0,12
153.0,72.0,-116.81568669538544,195.0,178.0,295.0,252.0,365.0,388.0,8
158.0,99.0,-114.12965450561636,170.0,187.0,261.0,297.0,352.0,386.0,11
83.0,32.0,-121.2995335124221,182.0,190.0,256.0,251.0,364.0,355.0,10
130.0,12.0,-122.44033777734796,142.0,150.0,266.0,200.0,376.0,315.0,7
85.0,58.0,-118.66281597220669,107.0,129.0,253.0,271.0,354.0,324.0,8
64.0,9.0,-123.67918917001192,171.0,155.0,291.0,268.0,377.0,354.0,11
165.0,32.0,-121.5918958339286,141.0,179.0,261.0,228.0,385.0,313.0,7
162.0,7.0,-123.38705353310468,193.0,161.0,274.0,229.0,361.0,382.0,7
32.0,90.0,-121.060740613243,162.0,189.0,261.0,267.0,389.0,334.0,9
149.0,97.0,-112.6992726469575,115.0,125.0,259.0,295.0,360.0,309.0,11
138.0,46.0,-119.24934025371437,164.0,145.0,261.0,287.0,391.0,344.0,8
41.0,49.0,-122.2628838796625,128.0,195.0,260.0,285.0,376.0,380.0,7
130.0,18.0,-121.9296534355396,158.0,114.0,256.0,241.0,399.0,347.0,7
190.0,8.0,-124.20591054572849,182.0,161.0,264.0,258.0,363.0,329.0,10
45.0,13.0,-124.12823508614886,108.0,125.0,286.0,285.0,380.0,377.0,12
166.0,89.0,-116.3525045190087,184.0,176.0,254.0,292.0,377.0,342.0,11
133.0,110.0,-105.3327688258116,177.0,111.0,250.0,273.0,391.0,354.0,10
28.0,60.0,-122.56396435596356,125.0,170.0,253.0,279.0,380.0,375.0,10
60.0,5.0,-124.0612830938503,134.0,140.0,291.0,258.0,350.0,301.0,10
62.0,88.0,-118.01438444109846,144.0,109.0,257.0,232.0,354.0,361.0,7
91.0,28.0,-121.39205505529398,175.0,144.0,251.0,201.0,362.0,381.0,7
77.0,19.0,-122.55721709412836,112.0,168.0,267.0,225.0,378.0,361.0,7
97.0,97.0,-111.6425131563501,181.0,200.0,261.0,203.0,394.0,373.0,7
52.0,26.0,-123.05721306091424,109.0,177.0,280.0,245.0,365.0,371.0,7
57.0,3.0,-124.2790595990564,150.0,154.0,262.0,223.0,384.0,370.0,7
