,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,36.0,74.0,-121.3297375658382,35.0,87.0,179.0,182.0,236.0,342.0,8
1,152.0,24.0,-121.80886485170468,57.0,146.0,156.0,250.0,290.0,275.0,8
2,82.0,47.0,-119.96537670743172,58.0,129.0,131.0,163.0,272.0,299.0,7
3,63.0,7.0,-123.8397691804194,18.0,91.0,188.0,156.0,271.0,279.0,10
4,161.0,45.0,-120.28032959375624,72.0,150.0,136.0,168.0,299.0,284.0,8
5,150.0,17.0,-122.336745393144,50.0,72.0,200.0,198.0,239.0,269.0,8
6,186.0,33.0,-122.48646976753577,34.0,120.0,176.0,234.0,275.0,309.0,9
7,41.0,32.0,-123.22981417874078,88.0,148.0,130.0,190.0,208.0,319.0,9
8,67.0,67.0,-119.12664454374269,87.0,88.0,142.0,209.0,241.0,303.0,7
9,42.0,15.0,-124.13756912963524,50.0,55.0,122.0,213.0,242.0,306.0,10
10,3.0,6.0,-126.14047228792862,57.0,134.0,193.0,190.0,233.0,264.0,12
11,172.0,71.0,-118.64905659400024,36.0,126.0,127.0,163.0,208.0,282.0,7
12,39.0,43.0,-122.72081942687188,88.0,111.0,126.0,196.0,219.0,289.0,9
13,19.0,104.0,-121.91502999421324,74.0,101.0,125.0,218.0,273.0,340.0,8
14,117.0,95.0,-109.3315235161769,35.0,141.0,127.0,165.0,281.0,275.0,7
15,70.0,63.0,-119.2301615396415,1.0,90.0,166.0,227.0,203.0,294.0,7
16,158.0,73.0,-117.14460807568176,81.0,56.0,147.0,209.0,283.0,275.0,7
17,180.0,51.0,-120.88121611380768,82.0,59.0,164.0,150.0,295.0,333.0,8
18,143.0,10.0,-122.75745461933636,9.0,78.0,113.0,224.0,299.0,269.0,9
19,40.0,6.0,-124.702627444017,8.0,59.0,114.0,245.0,293.0,284.0,11
20,151.0,90.0,-114.09158547186942,59.0,121.0,117.0,205.0,200.0,288.0,7
21,12.0,29.0,-124.82863693127382,70.0,70.0,194.0,199.0,218.0,328.0,11
