,lambda,x,y,RSSI,SF
0,186.0,20.0,35.0,-124.16819088509362,12
1,117.0,120.0,65.0,-116.3290462495522,8
2,163.0,50.0,109.0,-118.61291035708928,8
3,168.0,128.0,100.0,-107.88005849634833,7
4,196.0,159.0,38.0,-120.82773929659874,10
5,111.0,17.0,63.0,-123.1876945515102,11
6,64.0,15.0,52.0,-123.73552811551536,12
7,105.0,28.0,107.0,-121.05154525221351,10
8,35.0,47.0,29.0,-123.10730155911202,11
9,194.0,123.0,75.0,-114.54213737885776,7
10,3.0,190.0,18.0,-123.61403075904424,12
11,96.0,95.0,44.0,-119.70882730654662,9
12,156.0,110.0,41.0,-119.66226218937686,9
13,196.0,45.0,92.0,-119.71514405482615,9
14,169.0,83.0,93.0,-114.70471351219228,7
15,67.0,24.0,80.0,-122.07069467941326,10
16,150.0,69.0,94.0,-116.70269088437416,8
17,154.0,145.0,70.0,-116.4523798035614,8
18,55.0,140.0,73.0,-115.64275283766484,7
19,28.0,131.0,91.0,-111.15616573588066,7
20,6.0,159.0,107.0,-113.6215539730219,7
21,27.0,80.0,41.0,-120.62390448106665,9
22,134.0,72.0,53.0,-119.9799424953788,9
23,171.0,121.0,48.0,-118.75243800956886,8
24,74.0,30.0,83.0,-121.47191132420924,10
25,28.0,54.0,86.0,-119.03893798694064,8
26,191.0,88.0,24.0,-121.82335269861277,10
27,25.0,115.0,47.0,-118.89932608095684,8
28,125.0,148.0,79.0,-115.37455879561756,7
29,97.0,159.0,59.0,-118.77980065320162,8
30,152.0,123.0,102.0,-106.426057453791,7
31,112.0,78.0,72.0,-117.67610119626164,8
32,100.0,104.0,58.0,-117.7043467272957,8
33,103.0,138.0,109.0,-107.59466687691564,7
34,30.0,13.0,91.0,-122.64424280278394,11
35,84.0,144.0,62.0,-117.50052053675503,8
36,196.0,171.0,84.0,-117.42192820992308,8
37,161.0,116.0,14.0,-122.24270844669633,11
38,176.0,156.0,24.0,-121.92601232243663,10
39,45.0,120.0,82.0,-113.00794625679156,7
40,111.0,62.0,41.0,-121.53828891645207,10
41,170.0,46.0,77.0,-120.31828550571032,9
42,67.0,118.0,99.0,-107.7502245552068,7
43,199.0,189.0,15.0,-123.75452883797198,12
