,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,112.0,47.0,-118.93314898366134,146.0,155.0,229.0,241.0,322.0,331.0,7
1,91.0,15.0,-122.48619552740897,142.0,116.0,228.0,256.0,344.0,398.0,8
2,173.0,67.0,-119.08290913165467,164.0,182.0,200.0,207.0,317.0,310.0,7
3,145.0,64.0,-117.28962433013884,198.0,139.0,273.0,263.0,329.0,315.0,7
4,111.0,50.0,-118.57615673128588,192.0,183.0,246.0,296.0,372.0,329.0,7
5,142.0,24.0,-121.56737487705784,131.0,130.0,293.0,271.0,393.0,328.0,8
6,49.0,42.0,-122.1998155523182,133.0,150.0,294.0,223.0,305.0,349.0,8
7,75.0,46.0,-120.42527373117473,107.0,186.0,210.0,295.0,376.0,393.0,7
8,40.0,84.0,-120.53935933877358,106.0,140.0,281.0,268.0,399.0,350.0,8
9,83.0,18.0,-122.45184698302516,190.0,137.0,244.0,262.0,380.0,325.0,8
10,90.0,9.0,-122.97311961221166,103.0,164.0,229.0,279.0,325.0,346.0,9
11,103.0,98.0,-110.24099249827748,168.0,146.0,236.0,296.0,386.0,317.0,7
12,164.0,50.0,-119.97803176447832,111.0,144.0,226.0,242.0,302.0,358.0,7
13,52.0,71.0,-120.13098699687367,107.0,164.0,282.0,273.0,341.0,305.0,7
14,131.0,47.0,-118.97220629324286,133.0,117.0,238.0,235.0,344.0,309.0,7
15,77.0,12.0,-123.07296862600296,176.0,140.0,294.0,279.0,372.0,357.0,9
16,152.0,48.0,-119.548929811546,143.0,147.0,278.0,248.0,325.0,370.0,7
17,157.0,11.0,-122.97088209425544,194.0,195.0,243.0,221.0,304.0,300.0,9
18,152.0,86.0,-114.80951154773253,153.0,133.0,219.0,210.0,347.0,325.0,7
19,104.0,97.0,-110.30880765199282,116.0,132.0,288.0,294.0,384.0,306.0,7
20,155.0,37.0,-120.75702842518658,163.0,124.0,223.0,244.0,400.0,371.0,8
21,32.0,4.0,-125.10343182539732,120.0,190.0,234.0,257.0,318.0,334.0,11
22,25.0,21.0,-124.56860722940309,116.0,177.0,254.0,274.0,397.0,336.0,10
23,94.0,52.0,-118.86085768528004,110.0,133.0,292.0,277.0,321.0,313.0,7
24,92.0,68.0,-116.98322833040568,163.0,140.0,222.0,281.0,346.0,358.0,7
25,122.0,97.0,-108.5370727130306,190.0,105.0,283.0,214.0,336.0,389.0,7
26,50.0,91.0,-119.22071599364114,151.0,105.0,203.0,225.0,386.0,374.0,7
27,135.0,28.0,-121.07310151846433,119.0,191.0,294.0,275.0,357.0,384.0,8
28,28.0,24.0,-124.28570229036438,184.0,117.0,267.0,219.0,343.0,324.0,10
