#nrNodes nrCollisions nrTransmissions OverallEnergy PDR
100 2737 9677 498.52188672000005 0.7171644104577866
100 3296 9857 773.034645504 0.6656183422948159
100 1611 9882 255.94530508799997 0.836976320582878
100 12023 24537 616.9304401920001 0.5100052981212047
100 8205 24322 659.8844989439996 0.6626510977715648
100 3408 14972 434.0125870079998 0.7723751001870158
100 3430 14712 431.4435840000001 0.7668569874932029
100 9175 25203 704.622910464 0.6359560369797246
100 3146 14454 413.31299327999994 0.78234398782344
100 5021 15295 330.685673472 0.6717227852239294
100 3503 15291 426.90616319999987 0.7709109933948074
100 3497 14232 614.089039872 0.7542861157953906
100 3226 14384 396.2757089279998 0.7757230255839822
100 3296 14710 553.88585472 0.7759347382732835
100 3332 14727 400.7912325120001 0.7737488965845046
100 3373 14826 522.610277376 0.7724942668285444
100 3315 14864 430.4100556799999 0.7769779332615716
100 8404 24489 950.665875456 0.6568255134958553
100 8368 24806 680.6912808960003 0.6626622591308554
100 8235 24036 951.4273443840005 0.6573889166250624
