node,sf,time
122.0,7.0,46.76709122410443
123.0,7.0,452.51243361019016
32.0,7.0,600.0427577420779
120.0,8.0,637.6589725293646
116.0,7.0,710.2116526483263
186.0,8.0,714.2967841279929
73.0,8.0,851.566953942304
125.0,7.0,919.3967012810796
188.0,7.0,1031.7130287333318
66.0,9.0,947.2466339524422
70.0,7.0,1133.3187725502721
25.0,9.0,1177.0274368140442
105.0,7.0,1363.6508860135918
20.0,8.0,1477.5398713502882
63.0,8.0,1615.8008528653963
59.0,7.0,1815.3206471053904
36.0,7.0,2056.2328709862754
51.0,8.0,2071.676841329746
48.0,8.0,2148.812534028601
96.0,7.0,2505.708900853976
24.0,7.0,2554.189393297195
41.0,7.0,2562.013854046903
151.0,8.0,2612.554919991675
119.0,7.0,2820.686090208237
81.0,7.0,2934.840286527137
134.0,8.0,2949.688300360534
98.0,7.0,3091.5484686046075
102.0,8.0,3184.4782057289985
178.0,7.0,3369.124783367123
14.0,8.0,3308.426896349614
152.0,7.0,3421.9364118750996
172.0,7.0,3657.982051457515
5.0,7.0,3704.7746475491645
41.0,7.0,4207.842738798339
117.0,7.0,4550.416445756296
112.0,7.0,4598.726491798743
15.0,8.0,4632.015956427143
42.0,7.0,4825.225746444515
87.0,8.0,4787.065049364007
156.0,7.0,5011.601824115461
74.0,10.0,4604.451211441866
185.0,7.0,5039.974792809343
105.0,7.0,5120.137345505866
139.0,8.0,5132.635471619417
98.0,7.0,5241.2172350415985
160.0,8.0,5311.849142421802
0.0,8.0,5315.129983883013
155.0,8.0,5496.450791299061
49.0,9.0,5402.895111687521
128.0,9.0,5491.8507426900915
198.0,7.0,5666.628694258215
125.0,7.0,5844.964569947903
28.0,8.0,5797.2714502294975
106.0,8.0,5807.060382648387
40.0,11.0,5072.851945508336
5.0,7.0,6008.576658543627
134.0,8.0,6209.719296011247
173.0,7.0,6316.905816821352
63.0,8.0,6287.0957962903785
24.0,7.0,6478.767238231039
105.0,7.0,6479.51722852081
191.0,9.0,6338.679390697329
65.0,9.0,6427.628560918272
49.0,9.0,6443.544499811173
74.0,10.0,6361.713508595333
72.0,7.0,7023.203168363753
192.0,7.0,7264.481305645256
41.0,7.0,7298.313686993329
43.0,8.0,7291.380324869456
53.0,7.0,7370.934292208772
121.0,7.0,7750.376636371863
93.0,8.0,7691.174310156932
47.0,7.0,7822.420009493766
165.0,9.0,7662.790113126257
161.0,9.0,7695.318504767305
25.0,9.0,7747.0316855191495
59.0,7.0,8006.6021868495045
29.0,8.0,8127.305922177272
40.0,11.0,7288.76859168748
96.0,7.0,8241.586148453971
34.0,10.0,7863.7278687683765
115.0,11.0,7405.016164683686
51.0,8.0,8610.467614399204
135.0,12.0,7069.986795778047
50.0,8.0,8962.466754901547
129.0,7.0,9045.374536112104
87.0,8.0,8998.709388028401
17.0,7.0,9160.240555365568
110.0,7.0,9160.81286237866
5.0,7.0,9192.956455553083
151.0,8.0,9138.412825230818
3.0,12.0,7568.574764442931
63.0,8.0,9283.746610721839
194.0,8.0,9360.61608913161
153.0,7.0,9498.87873589817
2.0,8.0,9748.644953298899
127.0,7.0,9865.604790306894
75.0,9.0,9712.89307289735
1.0,9.0,9714.841289337452
86.0,7.0,9891.082877402378
8.0,7.0,10194.981927507843
172.0,7.0,10261.274457774234
149.0,7.0,10383.985125837919
57.0,7.0,10627.607725302796
75.0,9.0,10524.578934727835
125.0,7.0,10724.15702629745
60.0,11.0,9842.984221652612
131.0,8.0,10754.213364451676
25.0,9.0,10681.487725848505
128.0,9.0,10810.212868997747
161.0,9.0,10825.504192585846
92.0,8.0,11613.421530230049
99.0,7.0,11704.71381575918
7.0,7.0,11722.451254446056
46.0,7.0,11741.825735797778
3.0,12.0,10214.625855950879
105.0,7.0,12554.982890234533
173.0,7.0,12694.119791076464
60.0,11.0,11790.029910296033
74.0,10.0,12477.804536099511
139.0,8.0,12928.73781610305
53.0,7.0,13233.24708958265
0.0,8.0,13322.51279104938
139.0,8.0,13634.302421598633
171.0,7.0,14122.842939386279
126.0,12.0,12606.706144996286
194.0,8.0,14485.657319842048
191.0,9.0,14418.663427760044
90.0,10.0,14233.778259549197
1.0,9.0,14525.712561860208
44.0,8.0,14711.443838130514
27.0,8.0,14760.957881541755
96.0,7.0,14934.472851269682
19.0,7.0,15347.93422841458
135.0,12.0,13772.18112061399
33.0,7.0,15592.542341020755
184.0,8.0,15575.875119690736
130.0,7.0,15696.676485697857
56.0,9.0,15614.167000518042
136.0,9.0,15648.024592036443
17.0,7.0,15886.212526831667
199.0,7.0,16155.26865801002
79.0,7.0,16171.959303446203
134.0,8.0,16288.68926757172
176.0,7.0,16360.12247238818
35.0,7.0,16402.634063296962
41.0,7.0,16418.991840618313
198.0,7.0,16461.928079591595
154.0,7.0,16464.31684280058
3.0,12.0,14894.350305578384
127.0,7.0,16541.32475732772
53.0,7.0,16712.46963444207
195.0,7.0,16763.678405605126
139.0,8.0,16760.214930464168
8.0,7.0,16870.854513073835
51.0,8.0,16920.964840790723
159.0,10.0,16781.049792651498
158.0,7.0,17352.64211538992
145.0,7.0,17565.25556808547
69.0,9.0,17409.729674223643
57.0,7.0,17583.813504297355
114.0,9.0,17532.265711770568
134.0,8.0,17677.07295311399
58.0,7.0,17899.565728084777
71.0,7.0,17907.353475137003
150.0,8.0,17866.909365533254
0.0,8.0,17886.71976835307
168.0,7.0,17975.106329430106
98.0,7.0,18187.82097482297
121.0,7.0,18237.295883913135
51.0,8.0,18368.14800055411
72.0,7.0,18766.704487840696
135.0,12.0,17228.191570668718
129.0,7.0,18868.203251760133
194.0,8.0,19374.86627147164
101.0,7.0,19516.715698159067
158.0,7.0,19649.551736032336
53.0,7.0,19700.782820990364
125.0,7.0,19974.07788702391
159.0,10.0,19579.904550260017
177.0,8.0,19951.609609372892
112.0,7.0,20014.29200373
50.0,8.0,20028.317153527416
21.0,8.0,20470.57141778896
104.0,7.0,20671.02132893733
38.0,7.0,20772.040209419945
146.0,8.0,20737.767716612
28.0,8.0,20824.316073126218
187.0,7.0,21340.842468309907
125.0,7.0,21523.41284111906
102.0,8.0,21558.61023412798
89.0,8.0,21627.550180667447
98.0,7.0,21823.40514307071
150.0,8.0,21804.999131855344
151.0,8.0,21850.113177473693
93.0,8.0,21901.53818900761
83.0,8.0,22014.081772442016
196.0,8.0,22266.519521290877
158.0,7.0,22401.47743138545
138.0,8.0,22415.730052070416
197.0,8.0,22540.39564261866
141.0,10.0,22456.112776094506
40.0,11.0,22087.34387398037
167.0,7.0,23038.731477116213
190.0,10.0,22704.32099346416
9.0,7.0,23388.104258734937
154.0,7.0,23473.458864139982
55.0,7.0,23613.438567806443
29.0,8.0,23574.633671092466
144.0,9.0,23592.735269755864
161.0,9.0,23684.832384416608
182.0,11.0,22974.693115071306
114.0,9.0,23840.773963856733
194.0,8.0,24302.080571545554
5.0,7.0,24494.85913308683
151.0,8.0,24503.3592178041
156.0,7.0,24831.90914822562
145.0,7.0,24947.92012514283
89.0,8.0,24938.537734993763
85.0,8.0,24985.13981594752
135.0,12.0,23456.378042397395
158.0,7.0,25204.23200704867
36.0,7.0,25245.708909739078
27.0,8.0,25191.571887766186
5.0,7.0,25305.128251050905
80.0,10.0,24999.378580258544
21.0,8.0,25474.938839322967
117.0,7.0,25868.83490993182
0.0,8.0,26098.477094705107
9.0,7.0,26310.527769807
195.0,7.0,26414.72914642045
164.0,7.0,26476.024573538823
11.0,7.0,26486.1761739379
43.0,8.0,26450.573110692207
91.0,12.0,24885.90041130853
196.0,8.0,26500.714180086772
187.0,7.0,26609.22640371361
53.0,7.0,26718.262840068284
120.0,8.0,27054.511546533864
186.0,8.0,27199.43982465722
176.0,7.0,27611.160773383097
190.0,10.0,27228.36905637166
105.0,7.0,27681.329383154967
62.0,8.0,27897.621174026197
164.0,7.0,27969.172815125494
61.0,7.0,28063.05335052556
125.0,7.0,28181.666315580303
178.0,7.0,28223.70212498459
139.0,8.0,28347.466577852007
100.0,7.0,28441.260940022607
27.0,8.0,28509.786584402405
52.0,9.0,28470.624441116674
114.0,9.0,28652.028789917014
186.0,8.0,28767.88879257525
62.0,8.0,28892.107382740374
95.0,8.0,28985.003612831177
98.0,7.0,29127.485078283746
114.0,9.0,29067.338181810257
191.0,9.0,29074.32128011695
17.0,7.0,29298.18987561829
77.0,11.0,28699.612745229882
