#nrNodes nrCollisions nrTransmissions OverallEnergy PDR
200 13743 29786 2040.090252288 0.5386087423621836
200 13751 30073 2380.637140992 0.542745984770392
200 8032 30381 785.9497789439998 0.7356242388334815
200 56693 72890 2027.551190015999 0.22221155165317596
200 38544 72840 1990.7229788159987 0.470840197693575
200 15494 44897 1246.6968729599992 0.6548989910238991
200 18459 45461 1256.8200099839992 0.5939596577286026
200 37630 74816 2075.4408744960015 0.49703272027373824
200 21190 44959 1252.127179776001 0.528681687759959
200 20385 44741 926.2271969279997 0.5443776401957936
200 23968 44627 1236.6404075519997 0.46292603132632715
200 19545 43605 1636.6205982719985 0.5517715858273133
200 21476 43829 1213.5293829120008 0.5100047913481941
200 15428 44124 1523.7292308480003 0.6503490164083039
200 15794 44565 1217.766865920001 0.6455963199820487
200 16416 44919 1510.6755502080002 0.63454217591665
200 20818 44999 1257.028405247999 0.5373674970554901
200 39350 72915 2605.5564226559995 0.46033052184049916
200 42022 73631 2000.5672304639997 0.4292892939115318
200 45402 72698 2606.3254271999995 0.37547112712866926
150 15719 36634 2162.2123100159993 0.5709177267019708
150 18740 36545 2125.2361236479996 0.4872075523327405
100 2675 15634 725.4635520000004 0.8288985544326468
