#nrNodes nrCollisions nrTransmissions OverallEnergy PDR
500 152414 205443 7996.086878208001 0.25812025720029397
500 137977 206386 5689.090277375992 0.33146143633773606
500 170227 205114 8013.598534656003 0.1700859034488138
500 162309 205900 5677.936788479999 0.21170956775133565
500 303008 341470 13810.737819648 0.11263654200954698
500 293731 344168 9332.121993216004 0.14654761628042123
500 281826 343389 13788.855370752008 0.17928064090579487
500 316337 347163 9458.024598527996 0.08879402470885434
500 152006 205254 7955.087889408004 0.2594249076753681
500 162409 202931 16087.139042303997 0.19968363630987873
500 163543 205811 5671.335419903996 0.20537289066182085
500 280889 340220 13718.773804032 0.17439010052319093
500 275396 335422 26069.238835199976 0.17895665758358126
500 295258 344779 9379.845252096015 0.14363113762729174
500 291882 343179 13819.312809983998 0.1494759294712089
500 290684 337142 26202.861628416023 0.13779950288009202
500 307627 345978 9395.671532543998 0.11084808860679007
500 424213 477381 17965.34848204801 0.11137435298011444
500 424253 476519 18080.91360768001 0.10968292974676774
500 440567 481751 13014.117338112006 0.08548814636606883
500 439264 481476 13027.49643571199 0.08767207503593122
500 431367 463135 35775.09007564802 0.06859339069601733
500 442026 464015 35728.967138303946 0.047388554249323867
