#nrNodes nrCollisions nrTransmissions OverallEnergy PDR
200 81617 104737 8322.369251328006 0.22074338581399122
200 114393 140864 11028.001966080003 0.18791884370740575
200 34118 59347 4724.310024191997 0.4251099465853371
200 66926 96496 7630.734025728 0.306437572541867
200 101895 132874 10526.835585024002 0.23314568689134063
200 114023 141116 11033.656482816 0.19199098613906285
200 111188 140644 10999.464892415994 0.20943659167827988
200 25838 49587 2407.3007185920005 0.4789360114546152
200 12977 29517 1446.6230845440014 0.5603550496324152
200 28498 49857 2997.420923903998 0.4284052389834928
200 23103 49680 2993.487906816 0.534963768115942
