#nrNodes nrCollisions nrTransmissions OverallEnergy PDR
200 11510 29183 959.0427432959998 0.6055922968851728
200 11842 29316 811.7274992639993 0.5960567608132078
200 12253 29974 992.8793487360005 0.5912123840661907
200 12447 29914 837.9179550719999 0.58390720064184
200 28174 49606 1660.6551582719997 0.432044510744668
200 29096 49522 1312.3991316479996 0.41246314769193493
200 27622 48618 1619.7859983360004 0.43185651404829484
200 28672 49186 1326.839838720001 0.41706989793843774
200 12291 30007 992.0099819519992 0.5903955743659812
200 17355 29458 2342.4528230399997 0.410856134157105
200 12436 29809 839.8184171520004 0.5828105605689557
200 27860 49117 1635.1757537280002 0.4327829468412159
200 28062 49289 1632.0644567040008 0.4306640426870093
200 33737 48416 3722.986662911998 0.3031848975545274
200 29331 49664 1330.932894719999 0.409411243556701
200 29513 49884 1344.5724948480001 0.40836741239676044
200 27821 48859 1634.6579251199992 0.430585971878262
200 33003 47687 3748.1974886399985 0.30792459160777574
200 28398 48870 1313.5242024959994 0.4189073050951504
200 46511 67952 2136.429993984 0.3155315516835413
200 46501 68301 2142.6566768640014 0.31917541470842303
200 46564 68082 2135.515244544001 0.3160600452395641
200 48311 68346 1844.8453816320002 0.29314078365961427
200 48557 68514 1812.7658250239988 0.2912835332924658
200 49742 65586 5034.291879935998 0.24157594608605493
200 50440 66083 5147.258806271997 0.23671746137433225
200 37624 52583 4125.166543872003 0.28448357834281046
200 37482 52670 4100.931191807998 0.28836149610784123
200 35890 52432 4232.169216000002 0.3154943545926152
200 35634 52317 4209.5285760000015 0.3188829634726762
200 51504 70042 5569.879062527996 0.2646697695668313
200 16207 29438 2396.3582607360004 0.44945308784564164
200 32024 48035 3876.4136632320015 0.33331945456438017
200 47962 66248 5327.810949120002 0.2760234271223282
200 52165 70749 5609.017666560001 0.2626750908140044
200 51329 69669 5527.142556671998 0.26324477170621075
200 12407 25039 462.514956288 0.5044929909341427
200 5147 14843 296.16329318400017 0.6532372161961868
200 9631 25215 1068.1818470399996 0.6180448145944875
200 9555 25036 1061.2695244800002 0.618349576609682
100 1734 10467 586.227231744 0.8343364860991689
