#nrNodes nrCollisions nrTransmissions OverallEnergy PDR
200 165234 213855 10212.909763584028 0.2273549835168689
200 248470 288851 13560.593925120005 0.1397987197551679
200 64105 119602 5782.328116224002 0.4640139796993361
200 145281 195532 9340.399107072011 0.2569962972812634
200 211357 272094 12919.941771264 0.22322065168654948
200 245442 288895 13540.84172390401 0.1504110489970405
200 243201 288127 13524.208760831998 0.15592429727168922
200 64525 100379 3283.5587727360044 0.3571862640592156
200 35551 59365 1973.2853944320032 0.40114545607681296
200 72517 100583 3870.4924938240024 0.279033236232763
200 60223 99597 3857.038411776 0.3953331927668504
100 14498 58609 2115.572524032001 0.7526318483509359
