node,sf,time
38.0,8.0,334.136452218519
33.0,8.0,379.85269147927994
90.0,7.0,670.9288090191243
35.0,10.0,485.61523644776395
73.0,11.0,67.4607228382516
64.0,9.0,1154.9763915205742
29.0,11.0,427.74467531805504
71.0,10.0,991.3471072433607
10.0,12.0,102.94841169526401
95.0,7.0,1980.5818045622702
82.0,7.0,1988.3170618690194
42.0,8.0,1959.362653276874
86.0,10.0,1968.4028976928334
22.0,11.0,1513.1662260637397
1.0,10.0,2196.1122298670875
59.0,12.0,1020.0479408948121
72.0,11.0,1939.0738125724638
42.0,8.0,2788.504310128742
71.0,10.0,2709.007649626196
97.0,10.0,2716.6648366424247
61.0,11.0,2303.5857075379618
53.0,9.0,3379.036527837936
12.0,11.0,2763.40506318302
92.0,8.0,3829.77335903115
69.0,7.0,4198.152294708216
89.0,12.0,2638.1628971934647
21.0,12.0,2699.82650060777
25.0,11.0,3517.3985623645704
70.0,7.0,4511.867834934657
90.0,7.0,4712.1847136545875
27.0,12.0,3086.73069684109
63.0,11.0,3834.3929206907164
68.0,10.0,4385.562973562747
40.0,8.0,4823.470881772694
69.0,7.0,4911.534101530832
1.0,10.0,4724.480569980648
24.0,9.0,5159.15412447613
60.0,9.0,5447.47918972497
85.0,9.0,5523.313670805771
61.0,11.0,5017.860146931607
1.0,10.0,5768.536122956565
51.0,8.0,6155.3470478223
75.0,8.0,6271.874354163511
95.0,7.0,6431.1364736471605
92.0,8.0,6457.515770471912
10.0,12.0,4891.8190658414105
79.0,12.0,5020.264076851088
94.0,11.0,5908.661177927211
32.0,11.0,6132.705345422734
80.0,8.0,7045.996145233609
67.0,11.0,6219.654866733506
22.0,11.0,6252.477064496656
85.0,9.0,7027.916355345087
35.0,10.0,6845.819232820412
81.0,12.0,5706.013983118381
48.0,9.0,7206.462446464018
82.0,7.0,7698.771140037326
57.0,7.0,7997.400550635636
65.0,7.0,8047.342558003661
73.0,11.0,7388.528252530283
13.0,10.0,7975.11271030076
38.0,8.0,8510.132383687973
2.0,9.0,8449.77066120313
60.0,9.0,8461.190185507427
16.0,8.0,8770.846296698617
42.0,8.0,8866.104654522074
45.0,10.0,9050.715678536093
51.0,8.0,9620.31766306622
71.0,10.0,9319.222933558642
85.0,9.0,9915.011669309633
68.0,10.0,9940.092735302476
18.0,11.0,9511.940147341002
20.0,7.0,10577.510624770532
45.0,10.0,10162.811441768778
95.0,7.0,10645.322050650419
57.0,7.0,10799.42411482807
32.0,11.0,9890.867971432272
86.0,10.0,10452.342410439716
33.0,8.0,10812.599202821339
95.0,7.0,10934.549743132982
77.0,9.0,10942.262714024373
90.0,7.0,11144.184080324496
45.0,10.0,10840.13880497048
16.0,8.0,11198.085163638727
84.0,9.0,11142.523571824131
30.0,7.0,11328.303877748824
72.0,11.0,10494.859473381503
41.0,8.0,11391.547708494034
14.0,7.0,11739.876991330397
0.0,10.0,11333.25897497529
2.0,9.0,11673.524775704424
55.0,9.0,11720.262118111355
95.0,7.0,11896.44195843165
99.0,12.0,10789.688721972332
47.0,9.0,12361.09395190208
77.0,9.0,12534.641827750213
7.0,11.0,11931.986929650799
81.0,12.0,11211.020208780994
84.0,9.0,12923.090569472284
89.0,12.0,11974.119987510925
41.0,8.0,13609.184826635144
65.0,7.0,13822.888792693524
55.0,9.0,13761.1493024165
59.0,12.0,12794.946485622942
95.0,7.0,14429.46937291266
47.0,9.0,14489.951306501409
65.0,7.0,14723.020855236979
2.0,9.0,14625.830172796912
21.0,12.0,13227.479855248335
54.0,9.0,14705.582292248486
81.0,12.0,13368.306654005777
58.0,8.0,14973.336850305006
97.0,10.0,14753.569062203933
70.0,7.0,15195.112937699314
3.0,12.0,13590.942827395349
33.0,8.0,15175.911756428559
22.0,11.0,14423.039103696117
94.0,11.0,14496.03713765002
83.0,12.0,13813.888329928053
71.0,10.0,15054.145373208543
25.0,11.0,14646.594428733175
46.0,11.0,14790.409695189135
5.0,11.0,15078.54643114762
67.0,11.0,15104.9241456703
72.0,11.0,15329.596658706501
60.0,9.0,16406.521257603694
71.0,10.0,16195.895928298025
33.0,8.0,16644.186137277255
66.0,9.0,16589.933709657216
96.0,8.0,16733.579551377403
77.0,9.0,16638.07880927084
7.0,11.0,16013.670028361965
31.0,10.0,16588.822906377096
63.0,11.0,16126.235146178346
78.0,10.0,16889.640525434617
77.0,9.0,17187.73584144495
87.0,7.0,17405.7995958921
97.0,10.0,17056.50659015559
18.0,11.0,16746.40469905999
50.0,7.0,17730.663244871066
39.0,12.0,16122.23546264566
48.0,9.0,17698.101456736284
6.0,11.0,17067.677072010913
25.0,11.0,17167.387745411103
27.0,12.0,16447.695556947976
42.0,8.0,18564.63410871561
60.0,9.0,18577.189160131573
80.0,8.0,18821.323887109695
16.0,8.0,18879.188200567958
96.0,8.0,18983.485329796058
59.0,12.0,17414.28031375261
89.0,12.0,17600.418757206557
14.0,7.0,19262.894908922026
33.0,8.0,19627.279482230962
50.0,7.0,19885.208694924208
82.0,7.0,20065.682375817458
48.0,9.0,19902.49109241033
37.0,7.0,20377.508536360077
62.0,12.0,18862.325482027958
