#nrNodes nrCollisions nrTransmissions OverallEnergy PDR
300 29836 57113 3794.2568294399985 0.47759704445572815
300 33195 57526 4542.974346240005 0.4229565761568682
300 19035 58026 1555.5138846719997 0.6719573984076104
300 128590 149796 3523.1707484159974 0.14156586290688666
300 97569 149404 4058.549130240001 0.346945195577093
300 45020 89567 2506.586413055998 0.49735951857268856
300 47045 91120 2525.2933601279988 0.4837028094820017
300 100898 148592 4119.901615104 0.32097286529557445
300 51648 89604 2497.1472261119998 0.42359716084103394
300 58927 89890 1872.969719807999 0.34445433307375684
300 62495 89168 2470.6619688960004 0.29913197559662663
